ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories,วัตถุดิบ,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,ของคาวหรือหวาน,query1 อยากกินอาหารครบ,query2,query3
ขนมจีนน้ำเงี้ยว,"{'หมูบด': '1/2 กก', 'ซี่โครงอ่อน': '1/2 กก', 'ตรีนไก่': '1/2 กก', 'เลือดไก่': '3 ก้อน', 'มะเขือเทศสีดา': '1 กก', 'ดอกงิ้ว': 'ตามชอบ', 'เครื่องแกล้ม': '', 'ผักชี': '3 กำ', 'ต้นหอม': '3 กำ', 'ผักกาดดองซอย': '1/2 กก', 'ถั่วงอก': '15 บาท', 'กะหล่ำปลีซอย': '1 หัว', 'พริกแห้งทอด': '20 เม็ด', 'พริกน้ำเงี้ยว (แม่น้อย)': '500 กรัม', 'กะปิ': '2 ชต', 'น้ำปลา': 'ตามชอบ', 'น้ำตาล': 'ตามชอบ', 'กระเทียมไทยสำหรับเจียว': '1-2 ขีด'}",116.69,180.55,20.4,2173.31,"หมูบด, 1/2กก
ซี่โครงอ่อน, 1/2กก
ตรีนไก่, 1/2กก
เลือดไก่, 3ก้อน
มะเขือเทศสีดา, 1กก
ดอกงิ้วตามชอบ
เครื่องแกล้ม
ผักชีต้นหอม, 3กำ
ผักกาดดองซอย, 1/2กก
ถั่วงอก, 15บาท
กะหล่ำปลีซอย, 1หัว
พริกแห้งทอด, 20เม็ด
พริกน้ำเงี้ยว(แม่น้อย), 500กรัม
กะปิ, 2ชต
น้ำปลาตามชอบ
น้ำตาลตามชอบ
กระเทียมไทยสำหรับเจียว, 1-2ขีด",แคลมาก,โปรตีนสูง,ไขมันกลาง,คาร์บน้อย,"หมูบด, ซี่โครงหมู, ตีนไก่, เลือดไก่, มะเขือเทศ, ดอกงิ้ว, ผักชี, ผักกาด, ถั่วงอก, กะหล่ำปลี, พริกแห้ง, พริกน้ำ, กะปิ, น้ำปลา, น้ำตาล, กระเทียมไทย",ของคาว,คิดถึงอาหารภาคเหนือ เลยอยากทำอาหารเส้นๆที่มีการต้มซี่โครงหมู มะเขือเทศ พริก และปรุงตามใจชอบ ยิ่งกินกับถั่วงอกได้ยิ่งดี เพราะมีเต็มตู้เย็น,คิดถึงอาหารภาคเหนือ เลยอยากทำอาหารเส้นๆที่มีการต้มซี่โครงหมู มะเขือเทศ พริก และปรุงตามใจชอบ ยิ่งกินกับถั่วงอกได้ยิ่งดี เพราะมีเต็มตู้เย็น,อยากทำอาหารเส้น มีหมูบด ซี่โครงหมู มะเขือเทศ ถั่วงอก ผักต่างๆ
ขนมจีนน้ำยากะทิตีนไก่,"{'เนื้อไก่บดละเอียด': '3 ขีด', 'น้ำกะทิคั้น': 'ครึ่งโล', 'พริกแกงเผ็ด': '2 ขีด', 'กระชาย': '1 หัว', 'ใบมะกรูด': '4-5 ใบ', 'ตีนไก่': '1 โล', 'เลือดไก่': '1 ก้อน', 'ลูกชิ้นปลา': 'ครึ่งโล', 'น้ำตาลทรายแดง': '3 ช้อนโต๊ะ', 'เกลือ': '1 ช้อนโต๊ะ', 'รสดี': '1 ช้อนโต๊ะ', 'ขนมจีน': '1 โล', 'ผักเคียง': 'ตามชอบ'}",64.74,45.16,134.16,1202.04,"เนื้อไก่บดละเอียด, 3 ขีด
น้ำกะทิคั้นครึ่งโล
พริกแกงเผ็ด, 2 ขีด
กระชาย, 1 หัว
ใบมะกรูด, 4-5 ใบ
ตีนไก่, 1 โล
เลือดไก่, 1 ก้อน
ลูกชิ้นปลาครึ่งโล
น้ำตาลทรายแดง, 3 ช้อนโต๊ะ
เกลือ, 1 ช้อนโต๊ะ
รสดี, 1 ช้อนโต๊ะ
ขนมจีน, 1 โล
ผักเคียงตามชอบ",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"ไก่บด, น้ำกะทิ, พริกแกงเผ็ด, กระชาย, ใบมะกรูด, ตีนไก่, เลือดไก่, ลูกชิ้นปลา, น้ำตาลทรายแดง, เกลือ, รสดี, ขนมจีน, ผัก",ของคาว,มีเนื้อไก่ กะทิ ทำอะไรกินดี ,มีเนื้อไก่ กะทิ ทำอะไรกินดี,อยากทำอาหารเส้น มีไก่บด กะทิ ตีนไก่ พริกแกงเผ็ด
ขนมจีบกุ้ง,"{'แผ่นเกี๊ยวสีเหลือง': '20 แผ่น', 'กุ้งสับ': '200 กรัม', 'มันหมูแข็ง': '50 กรัม', 'กระเทียมสับละเอียด': '1 ช้อนโต๊ะ', 'รากผักชีสับละเอียด': '1 ช้อนโต๊ะ', 'ซอสปรุงอาหาร': '1 ช้อนโต๊ะ', 'พริกไทยป่น': '1 ช้อนชา', 'น้ำตาลทราย': '1 ช้อนชา', 'น้ำมันงา': '2 ช้อนโต๊ะ', 'จิ๊กโฉ่ว': 'สำหรับจิ้ม'}",70.38,224.44,180.4,3023.08,"แผ่นเกี๊ยวสีเหลือง, 20 แผ่น
กุ้งสับ, 200 กรัม
มันหมูแข็ง, 50 กรัม
กระเทียมสับละเอียด, 1 ช้อนโต๊ะ
รากผักชีสับละเอียด, 1 ช้อนโต๊ะ
ซอสปรุงอาหาร, 1 ช้อนโต๊ะ
พริกไทยป่น, 1 ช้อนชา
น้ำตาลทราย, 1 ช้อนชา
น้ำมันงา, 2 ช้อนโต๊ะ
จิ๊กโฉ่ว สำหรับจิ้ม",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บกลาง,"แผ่นเกี๊ยว, กุ้งสับ, มันหมู, กระเทียม, รากผักชี, ซอสปรุง, พริกไทย, น้ำตาลทราย, น้ำมันงา, จิ๊กโฉ่ว ",ของคาว,อยากกินขนมจีบ ที่ทำมาจากแผ่นเกี๊ยวสีเหลือง ใส่ กุ้ง มันหมู กินกับจิ๊กโฉ่ว,อยากกินขนมจีบ ที่ทำมาจากแผ่นเกี๊ยวสีเหลือง ใส่ กุ้ง มันหมู กินกับจิ๊กโฉ่ว,"มีแผ่นเกี๊ยว กุ้งสับ มันหมู จิ๊กโฉ่ว ทำอะไรกินได้บ้าง
"
ขนมจีบต้ม ,"{'หมูสับ': '', 'พริกไทยขาว': '', 'ซีอิ๊วขาวเห็ดหอม': '', 'กระเทียม': '', 'รากผักชี': '', 'น้ำตาลทราย': '', 'น้ำมันงา': '', 'แผ่นเกี๊ยว': '', 'น้ำเปล่า': '', 'น้ำมันกระเทียมเจียว': '', 'น้ำจิ้มขนมจีบ': '', 'แป้งมัน': ''}",47.92,361.29,225.47,4345.17,,แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บสูง,"หมูสับ, พริกไทยขาว, ซีอิ๊วขาว, กระเทียม, รากผักชี, น้ำตาลทราย, น้ำมันงา, แผ่นเกี๊ยว, น้ำ, น้ำมันกระเทียมเจียว, น้ำจิ้ม, แป้งมัน",ของคาว,อยากกินขนมจีบต้ม แบบคนจีนชอบกินกัน, หมูสับ พริกไทยขาว แผ่นเกี๊ยว น้ำตาลทราย น้ำมันงา อยากทำของว่างนึ่ง รสชาติดี กินคู่กับน้ำจิ้ม เนื้อหมูสับนุ่ม ห่อด้วยแผ่นบาง หอมน้ำมันงา,แผ่นเกี๊ยว หมูสับ กระเทียม รากผักชี ซีอิ๊วขาว อยากทำอาหารจีน นึ่งร้อนๆ เนื้อสับหอมเครื่องเทศ ห่อเป็นถุงเล็กๆ กินตอนเช้า
ขนมจีบลาบไมโครเวฟ,"{'กุ้งผ่าครึ่งตามขวาง': 15, 'หมูบดละเอียด': 200, 'รสดีเมนู ลาบ-น้ำตก': 1, 'ต้นหอมซอยละเอียด': 1, 'ผักชีใบเลื่อยซอย': 1, 'หอมแดงซอย': 2, 'แผ่นเกี๊ยว': 15}",64.87,40.18,123.08,1113.42,"กุ้งผ่าครึ่งตามขวาง, 15 ชิ้น
หมูบดละเอียด, 200 กรัม
รสดีเมนู ลาบ-น้ำตก, 1 ซอง
ต้นหอมซอยละเอียด, 1 ช้อนโต๊ะ
ผักชีใบเลื่อยซอย, 1 ช้อนโต๊ะ
หอมแดงซอย, 2 ช้อนโต๊ะ
แผ่นเกี๊ยว, 15 แผ่น วัตถุดิบแจ่ว
รสดีเมนู ลาบ-น้ำตก, 1 ซองต่อน้ำอุ่น 4 ช้อนโต๊ะ
น้ำอุ่น, 4 ช้อนโต๊ะ
ต้นหอมซอยละเอียด, 1 ช้อนโต๊ะ
ผักชีใบเลื่อยซอย, 1 ช้อนโต๊ะ
หอมแดงซอย, 1 ช้อนโต๊ะ",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"กุ้ง, หมู, คนอร์, ต้นหอม, ผักชี, หอมแดง, แผ่นเกี๊ยว, รสดีเมนู, น้ำอุ่น, ต้นหอม, ผักชี, หอมแดง",ของคาว,อยากทำอาหาร ที่ทำง่ายๆ ใช้ ไมโครเวฟ มีกุ้ง หมูบด ทำอะไรกินดี, กุ้ง หมู แผ่นเกี๊ยว ต้นหอม ผักชี หอมแดง อยากทำอาหารไมโครเวฟ เนื้อสัตว์สองชนิด ห่อด้วยแผ่นบาง หอมผักสมุนไพร รสชาติแซ่บ, คนอร์ กุ้ง หมู แผ่นเกี๊ยว รสดีเมนู อยากทำของว่างง่ายๆ ใช้ไมโครเวฟ มีกุ้งมีหมู ห่อเป็นถุงเล็ก รสจัดจ้าน
ขนมจีบอกไก่,"{'อกไก่': '500 กรัม', 'แครอท': '100 กรัม', 'หัวไชเท้า': '100 กรัม', 'พริกไทยป่น': '1 ช้อนชา', 'พริกไทยดำ': '1 ช้อนชา', 'รากผักชี': '5 ต้น', 'ซีอิ๊วขาวสูตรโลว์โซเดียม': '2 ช้อนโต๊ะ', 'กระเทียม': '10 กลีบ', 'แผ่นเกี๊ยว': '20-30 แผ่น'}",38.54,55.91,136.91,1204.99,"อกไก่:, 500 กรัม
แครอท:, 100 กรัม
หัวไชเท้า:, 100 กรัม
พริกไทยป่น:, 1 ช้อนชา
พริกไทยดำ:, 1 ช้อนชา
รากผักชี:, 5 ต้น
ซีอิ๊วขาวสูตรโลว์โซเดียม:, 2 ช้อนโต๊ะ
กระเทียม:, 10 กลีบ
แผ่นเกี๊ยว:, 20-30 แผ่น",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"อกไก่,  แครอท,  หัวไชเท้า,  พริกไทย,  พริกไทยดำ,  รากผักชี,  ซีอิ๊วขาว,  กระเทียม,  แผ่นเกี๊ยว",ของคาว,อยากเอาอกไก่มาทำอาหารอร่อยๆ ที่ไม่เหมือนเดิม ใช้แผ่นเกี๊ยว ,อกไก่ แครอท หัวไชเท้า พริกไทย รากผักชี แผ่นเกี๊ยว อยากทำของว่างไก่ ห่อแผ่นบาง ใส่ผักหวาน เนื้อไก่นุ่ม รสชาติอ่อนๆ,ไก่ แครอท หัวไชเท้า พริกไทยดำ ซีอิ๊วขาว กระเทียม อยากทำอาหารนึ่ง ใส่ผักราก เนื้อขาว หอมเครื่องเทศ กินคู่น้ำจิ้ม
ขนมต้มขาว,"{'มะพร้าวทึนทึกขูดเส้น': '300 กรัม', 'น้ำตาลปี๊บ': '280 กรัม', 'เทียนอบขนมสำหรับอบควันเทียน': '', 'แป้งข้าวเหนียว': '225 กรัม', 'กะทิ': '135 กรัม', 'น้ำสะอาด': '65 มิลลิลิตร', 'มะพร้าวทึนทึกขูดเส้น (สำหรับเสิร์ฟ)': ''}",29.89,85,120.48,1366.48,"มะพร้าวทึนทึกขูดเส้น, 300 กรัม
น้ำตาลปี๊บ, 280 กรัม
เทียนอบขนมสำหรับอบควันเทียน
แป้งข้าวเหนียว, 225 กรัม
กะทิ, 135 กรัม
น้ำสะอาด, 65 มิลลิลิตร
มะพร้าวทึนทึกขูดเส้น (สำหรับเสิร์ฟ)สำหรับเสิร์ฟ",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"มะพร้าว, น้ำตาลปี๊บ, เทียน, แป้งข้าวเหนียว, กะทิ, น้ำสะอาด, มะพร้าว",ของหวาน,มีมะพร่าว แป้งข้าวเหนียว ขนมอบควันเทียน กะทิ ทำอะไรกินดี ,มะพร้าว แป้งข้าวเหนียว กะทิ น้ำตาลปี๊บ อยากทำขนมไทย หวานมัน กะทิหอม เนื้อมะพร้าวหั่นฝอย ขาวใสเหนียวนุ่ม, แป้งข้าวเหนียว กะทิ มะพร้าว น้ำตาลปี๊บ อยากทำของหวานไทย เนื้อเหนียวหนึบ หอมกะทิ ไส้มะพร้าวหวาน รสชาติดั้งเดิม
ขนมเบื้องง่าย สูตร 1 และ สูตร 2,"{'แป้งข้าวจ้าว': '150 กรัม', 'แป้งถั่วเขียว': '50 กรัม', 'น้ำปูนใส': '100 กรัม', 'ไข่ไก่': '1 ฟอง', 'น้ำตาลปี๊บ': '100 กรัม'}",31.58,33.39,93.88,802.35,"##ตัวแป้งสูตรที่, 1##
แป้งข้าวจ้าว, 150 กรัม
แป้งถั่วเขียว, 50 กรัม
น้ำปูนใส, 100 กรัม
ไข่ไก่, 1 ฟอง
น้ำตาลปี๊บ, 100 กรัม
##ตัวแป้งสูตรที่, 2##สูตรนี้ง่ายเหมาะกับคนที่หาน้ำปูนใสไม่ได้สามารถทำสูตรนี้ได้คะ
ส่วนแป้งข้าวจ้าว, 150 กรัม
แป้งข้าวโพด, 25 กรัม
แป้งสาลีเอนกประสงค์, 25 กรัม
น้ำเปล่าน้ำเย็นจัด, 100 กรัม
ไข่, 1 ฟอง
น้ำตาลปี๊บหรือน้ำตาลมะพร้าว, 100 กรัม
****หมายเหตุ***แป้งสูตรที่, 1จะมีความกรอบนานกว่าแป้งสูตรที่ 2 เพราะน้ำปูนใสจะช่วยให้ขนมมีความกรอบนาน****
***ส่วนผสมของไส้ครีม***
ไข่ขาว, 2 ฟอง
น้ำมะนาว, 1ซีกเล็กๆ
น้ำตาลไอซิ่ง, 1 ถ้วยตวง
**ส่วนของท๊อปปิ้ง**
ฝอยทองตามชอบ
ลูกเกดดำ
เหลือง ตามชอบ",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"แป้งข้าวจ้าว, แป้งถั่วเขียว, น้ำปูนใส, ไข่ไก่, น้ำตาลปี๊บ, แป้งข้าวจ้าว, แป้งข้าวโพด, แป้งสาลีเอนกประสงค์, น้ำ, ไข่, น้ำตาลปี๊บ, แป้งสูตรที่,  ไข่ขาว, น้ำมะนาว, น้ำตาลไอซิ่ง, ฝอยทอง, ลูกเกด",ของหวาน,อยากทำขนมที่อีกฝ่ายเห็นแล้วประทับใจ ที่บ้านมีแป้งข้าวเหนียว แป้งข้าวเจ้า แป้งอเนกประสงค์  และก็มี น้ำตาลไอซิ่ง ไข่ ทำอะไรกินดี , แป้งข้าวจ้าว แป้งถั่วเขียว ไข่ไก่ น้ำตาลปี๊บ น้ำปูนใส อยากทำขนมกรอบ เนื้อแป้งเหนียวนุ่ม หวานหอม กินเล่นได้ เป็นขนมโบราณ,แป้งข้าวโพด แป้งสาลี ไข่ น้ำตาลปี๊บ ลูกเกด ฝอยทอง อยากทำขนมทอด กรอบนอก นุ่มใน หวานหอม ประดับฝอยทองและลูกเกด
ขนมปังเนยกรอบไมโครเวฟ,"{'ขนมปัง': '6 ชิ้น', 'เนยเค็มแท้': '20 กรัม'}",3.21,100.04,70.3,1194.4,"ขนมปัง, 6 ชิ้น
เนยเค็มแท้, 20 กรัม
น้ำตาลทราย",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"ขนมปัง, เนยเค็ม, น้ำตาลทราย",ของหวาน,มี ขนมปังที่เหลือไว้อยู่ กับเนยเค็ม น้ำตาลทราย ทำอะไรกินดี ที่อร่อยๆ เป็นของหวาน,ขนมปัง เนยเค็ม น้ำตาลทราย อยากทำขนมปังกรอบ ใช้ไมโครเวฟ หวานเค็ม เนยหอม กรอบน่ากิน,ขนมปัง เนยเค็ม น้ำตาลทราย อยากทำของว่างง่าย ไมโครเวฟเร็ว เนยละลาย หวานหอม กรอบนอก
ขนมเปียกปูนใบเตย,"{'แป้งข้าวเจ้า': '150 กรัม', 'แป้งเท้ายายม่อม': '80 กรัม', 'น้ำปูนใส': '1,380 กรัม', 'น้ำตาลทราย': '160 กรัม', 'น้ำตาลปี๊บ': '200 กรัม', 'น้ำใบเตยคั้นข้น': '4 ช้อนโต๊ะ', 'มะพร้าวทึนทึกขูดสำหรับเสิร์ฟ': ''}",15.98,129.64,202.65,2041.28,"แป้งข้าวเจ้า, 150 กรัม
แป้งเท้ายายม่อม, 80 กรัม
น้ำปูนใส, 1,380 กรัม
น้ำตาลทราย, 160 กรัม
น้ำตาลปี๊บ, 200 กรัม
น้ำใบเตยคั้นข้น, 4 ช้อนโต๊ะ
มะพร้าวทึนทึกขูดสำหรับเสิร์ฟ",แคลมาก,โปรตีนน้อย,ไขมันกลาง,คาร์บสูง,"แป้งข้าวเจ้า, แป้งเท้ายายม่อม, น้ำปูนใส, น้ำตาลทราย, น้ำตาลปี๊บ, น้ำใบเตย, มะพร้าว",ของหวาน,มี แป้งข้าวเจ้า แป้งเท้ายายม่อม น้ำปูนใส น้ำตาลทราย น้ำตาลปี๊บ น้ำใบเตย มะพร้าว ข้าวโพด แครอท ไข่ ทำอะไรกินดี ,แป้งข้าวเจ้า แป้งเท้ายายม่อม น้ำปูนใส น้ำใบเตย มะพร้าว อยากทำขนมเขียว หอมใบเตย เนื้อเหนียวนุ่ม ไส้มะพร้าว,น้ำตาลทราย น้ำตาลปี๊บ น้ำใบเตย มะพร้าว แป้งข้าวเจ้า อยากทำขนมโบราณ สีเขียวธรรมชาติ หวานหอม เนื้อเหนียว
ขนมผิง,"{'แป้งมัน': '2 ถ้วยตวง', 'น้ำตาลทราย': '150 กรัม', 'กะทิ(อบควันเทียน)': '1/2 ถ้วยตวง', 'ไข่แดง': '1 ฟอง', 'น้ำเปล่า': '2 ช้อนโต๊ะ'}",13.11,109.74,95.47,1421.98,"แป้งมัน, 2 ถ้วยตวง
น้ำตาลทราย, 150 กรัม
กะทิ(อบควันเทียน), 1/2 ถ้วยตวง
ไข่แดง, 1 ฟอง
น้ำเปล่า, 2 ช้อนโต๊ะ",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"แป้งมัน, น้ำตาลทราย, กะทิ, ไข่แดง, น้ำ",ของหวาน,อยากกินขนมไทยๆทำมาจากแป้ง ไข่  มีที่อบควันเทียนด้วย,แป้งมัน น้ำตาลทราย กะทิ ไข่แดง อยากทำขนมหวาน เนื้อเหนียว หอมกะทิ สีเหลือง หวานมัน,แป้งมัน กะทิ ไข่แดง น้ำตาลทราย อยากทำของหวานไทย เนื้อนุ่ม หอมไข่ กะทิเข้มข้น รสชาติดั้งเดิม
ขนมลืมกลืน,"{'แป้งถั่วเขียว': '40 กรัม', 'น้ำลอยดอกมะลิ': '400 กรัม', 'น้ำตาลทราย': '120 กรัม', 'น้ำอัญชันเข้มข้น': '1 ช้อนโต๊ะ', 'ถั่วเขียวเลาะเปลือกทอดสำหรับเสิร์ฟ': '', 'กะทิ': '250 กรัม', 'แป้งข้าวเจ้า': '25 กรัม', 'แป้งถั่วเขียวสำหรับทำหน้ากะทิ': '4 กรัม', 'เกลือ': '4 กรัม', 'น้ำตาลทรายสำหรับทำหน้ากะทิ': '12 กรัม'}",34.47,128.73,202.24,2105.41,"แป้งถั่วเขียว, 40 กรัม
น้ำลอยดอกมะลิ, 400 กรัม
น้ำตาลทราย, 120 กรัม
น้ำอัญชันเข้มข้น, 1 ช้อนโต๊ะ
ถั่วเขียวเลาะเปลือกทอดสำหรับเสิร์ฟ
กะทิ, 250 กรัม
แป้งข้าวเจ้า, 25 กรัม
แป้งถั่วเขียวสำหรับทำหน้ากะทิ, 4 กรัม
เกลือ, 4 กรัม
น้ำตาลทรายสำหรับทำหน้ากะทิ, 12 กรัม",แคลมาก,โปรตีนน้อย,ไขมันกลาง,คาร์บสูง,"แป้งถั่วเขียว, น้ำลอยดอกมะลิ, น้ำตาลทราย, น้ำอัญชัน, ถั่วเขียว, กะทิ, แป้งข้าวเจ้า, แป้งถั่วเขียว, เกลือ, น้ำตาล",ของหวาน,มีแป้งถั่วเขียว ดอกมะลิ น้ำตาล แป้ง ทำอะไรกินดี ไม่เอาอ้วยมาก กลางๆ , แป้งถั่วเขียว น้ำลอยดอกมะลิ น้ำอัญชัน ถั่วเขียว กะทิ อยากทำขนมสีสวย หอมดอกไม้ เนื้อนุ่ม หวานอ่อน,แป้งข้าวเจ้า แป้งถั่วเขียว กะทิ เกลือ น้ำตาล อยากทำขนมไทย เนื้อเหนียว หอมกะทิ รสชาติกลมกล่อม
ขนมอินทนิล,"{'แป้งมันสำปะหลัง': '100 กรัม', 'น้ำใบเตยเข้มข้น': '500 มล.', 'กะทิเรียลไทย': '250 มล.', 'น้ำลอยดอกมะลิ หรือหางกะทิ': '100 มล.', 'น้ำตาลทราย': '90 กรัม', 'เกลือ': '1/2 ช้อนชา', 'ใบเตย': '', 'เทียนอบขนม': ''}",14.89,11.52,208.75,998.24,"แป้งมันสำปะหลัง, 100 กรัม
น้ำใบเตยเข้มข้น, 500 มล.
กะทิเรียลไทย, 250 มล.
น้ำลอยดอกมะลิ หรือหางกะทิ, 100 มล.
น้ำตาลทราย, 90 กรัม
เกลือ, 1/2 ช้อนชา
ใบเตย
เทียนอบขนม",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"แป้งมันสำปะหลัง, น้ำใบเตยเข้มข้น, กะทิเรียลไทย, น้ำลอยดอกมะลิ, น้ำตาลทราย, เกลือ, ใบเตย, เทียนอบขนม",ของหวาน,อยากกินขนมอร่อยๆ ทำมาจากน้ำใบเตย ใส่กะทิ ทำแล้วแม่ผัวประทับใจ,แป้งมันสำปะหลัง น้ำใบเตยเข้มข้น กะทิเรียลไทย น้ำลอยดอกมะลิ อยากทำขนมเขียว หอมใบเตย กะทิเข้มข้น เนื้อเหนียวนุ่ม, น้ำตาลทราย เกลือ ใบเตย เทียนอบขนม แป้งมันสำปะหลัง อยากทำขนมอบ สีเขียวธรรมชาติ หอมหวาน เนื้อเด้งเหนียว
ข้าวเกรียบปากหม้อ,"{'แป้งข้าวเจ้า': '300 กรัม', 'แป้งมันสำปะหลัง': '100 กรัม', 'แป้งท้าวยายม่อม': '50 กรัม', 'เกลือป่น': '3 กรัม', 'น้ำเปล่า': '1 1/2 ถ้วยตวง', 'ไส้ร่วมกับม้าฮ่อ': '30 ก้อน', 'ผักชี': '', 'ผักกาดหอม': '', 'พริกขี้หนูสวน': '', 'กระเทียมเจียว': '', 'พริกชี้ฟ้าแดงซอย': '', 'สีผสมอาหาร': 'ตามชอบ', 'น้ำเดือด': '3 ถ้วยตวง'}",73.91,152.95,81.62,1998.67,"แป้งข้าวเจ้า, 300 กรัม
แป้งมันสำปะหลัง, 100 กรัม
แป้งท้าวยายม่อม, 50 กรัม
เกลือป่น, 3 กรัม
น้ำเปล่า, 1 1/2 ถ้วยตวง
ใช้ไส้ร่วมกับม้าฮ่อ, 30 ก้อน
ผักชี
ผักกาดหอม
พริกขี้หนูสวน
กระเทียมเจียว
พริกชี้ฟ้าแดงซอย
สีผสมอาหารตามชอบ
น้ำเดือด, 3 ถ้วยตวง",แคลกลาง,โปรตีนกลาง,ไขมันกลาง,คาร์บน้อย,"แป้งข้าวเจ้า, แป้งมันสำปะหลัง, แป้งท้าวยายม่อม, เกลือ, น้ำเปล่า, ผักชี, ผักกาดหอม, พริกขี้หนู, กระเทียมเจียว, พริกชี้ฟ้า, สีผสมอาหาร, น้ำ",ของหวาน,อยากกินข้าวเกรียบปากหม้อ ,แป้งข้าวเจ้า แป้งมันสำปะหลัง เกลือ ผักชี ผักกาดหอม พริกขี้หนู อยากทำขนมเก่าๆ บางกรอบ กินกับผักสด พริกป่นกระเทียม รสชาติโบราณ, แป้งท้าวยายม่อม ผักชี กระเทียมเจียว พริกชี้ฟ้า สีผสมอาหาร อยากทำขนมบาง กรอบหอม กินคู่ผัก เคี้ยวเพลิน ทำจากแป้งหลายชนิด
ข้าวไข่ข้นกิมจิเบคอนกรอบ,"{'เบคอน': '200 กรัม', 'ไข่': '4 ฟอง', 'ต้นหอม': 'ตามชอบ', 'กิมจิ': '50 กรัม', 'ข้าว': '1 ถ้วย', 'โคชูจัง': '1 ช้อนโต๊ะ', 'น้ำมันหอย': '1/2 ช้อนโต๊ะ', 'น้ำปลา': '1/2 ช้อนโต๊ะ'}",7.03,200.94,31.43,1962.3,"เบคอน, 200 กรัม
ไข่, 4 ฟอง
ต้นหอม ตามชอบ
กิมจิ, 50 กรัม
ข้าว, 1 ถ้วย
โคชูจัง, 1 ช้อนโต๊ะ
น้ำมันหอย, 1/2 ช้อนโต๊ะ
น้ำปลา, 1/2 ช้อนโต๊ะ",แคลกลาง,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"เบคอน, ไข่, ต้นหอม, กิมจิ, ข้าว, โคชูจัง, น้ำมันหอย, น้ำปลา",ของคาว,มีกิมจิ ไข่หลายฟอง ข้าวเย็น ทำอะไรกินดี ,เบคอน ไข่ กิมจิ ข้าว โคชูจัง ต้นหอม อยากทำอาหารเกาหลี ข้าวผัดเผ็ด เค็มจัด เบคอนหอมกรอบ รสชาติจี๊ดจ๊าด,กิมจิ เบคอน ไข่ข้น ข้าว น้ำมันหอย โคชูจัง อยากทำข้าวผัดเกาหลี เปรี้ยวเผ็ด กิมจิหอมแสบ เบคอนกรอบ ไข่นุ่มเหลว
ข้าวไข่ข้นกุ้ง เนื้อนุ่มละมุนลิ้น,"{'ไข่ไก่': '1 ฟอง', 'ซีอิ๊วขาว': '1/2 ช้อนชา', 'นมสด (พร่องมันเนย)': '1 ช้อนโต๊ะ', 'น้ำมัน': '1/2 ช้อนชา', 'กุ้งลวก': '5 ตัว'}",52.14,150.59,0,1563.87,"ไข่ไก่เบอร์, 01 ฟอง
ซีอิ๊วขาว, 1 /2ช้อนชา
นมสด (พร่องมันเนย), 1 ช้อนโต๊ะ
น้ำมัน, 1/2 ช้อนชา
กุ้งลวกสุกแล้ว, 5 ตัว",แคลกลาง,โปรตีนกลาง,ไขมันกลาง,คาร์บน้อย,"ไข่ไก่, ซีอิ๊วขาว, นมสด, น้ำมัน, กุ้ง",ของคาว,อยากกินอาหารง่ายๆ เด็กๆชอบ มี ไข่ กุ้ง ข้าว ,ไข่ไก่ ซีอิ๊วขาว นมสด กุ้ง อยากทำไข่นุ่ม ใส่กุ้งหวาน เนื้อเหลว ละมุน หอมนม รสชาติอ่อน, กุ้ง ไข่ไก่ นมสด น้ำมัน ซีอิ๊วขาว อยากทำเมนูเช้า ไข่ครีม กุ้งสด เนื้อนุ่มลื่น รสชาติกลมกล่อม
