ชื่ออาหาร,ingredient_full_json,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,query1 อยากกินอาหารครบ,query2,query3
แกงส้มดอกแคเนื้อปลานินทอดกรอบ,"""พริกแกงส้ม: 2ขีด
น้ำเปล่า: 1ลิตร
น้ำมะขามเปียก: 1ถ้วยเล็ก
น้ำตาลปี้ป: 1/2ทัพพี
ดอกแค: 20ดอก
น้ำปลา: 2 ช้อนโต๊ะ
เนื้อปลานิน: 1ตัว""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"พริกแกง,  น้ำเปล่า,  น้ำมะขามเปียก,  น้ำตาลปี้ป,  ดอกแค,  น้ำปลา,  ปลา",มีพริกแกงส้มเหลืออยู่ กับดอกแค น้ำมะขามเปียก ทำอะไรกินดี ,เมนูแกงรสเปรี้ยวๆ ที่มีดอกแคกับปลานินทำอะไรดี,มีดอกแค ทำอะไรกินได้บ้าง
ผัดเผ็ดปลาดุกพริกสด,"""ปลาดุก: 
มะเขือเจ้าพระยา: 
ใบมะกรูด: 
กระชาย: 
พริกไทยอ่อน: 
ซอสปรุงรส: 
น้ำมันหอย: 
ผงปรุงรส: 
กระเทียม: 
พริกขี้หนู:""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"ปลาดุก,  มะเขือ,  ใบมะกรูด,  กระชาย,  พริกไทย,  ซอสปรุงรส,  น้ำมันหอย,  ผงปรุงรส,  กระเทียม,  พริกขี้หนู",วันนี้ตกปลาดุกมาได้ อยากกินคู่กัยมะเขือ และผงปรุงรสให้มันอร่อยๆ,มีอะไรที่ทำกับปลาดุกให้ออกรสจัดๆ ได้บ้าง,อยากได้เมนูเผ็ดๆ ใส่พริกสดกับปลาดุก
แกงส้มไข่ปลาเรียวเซียว,"""ยอดมะพร้าว: 200กรัม
ไข่ปลาเรียวเซียว: 200กรัม
เนื้อปลาช่อน: 100กรัม
น้ำสต็อก: 2ถ้วย
พริกแกงส้ม: 1ชต
ข่า ตะไคร้ ใบมะกรูด: 1/2 ถ้วย
น้ำปลา: 1ชต
น้ำตาลปี๊บ: 1ชต
มะขามเปียก: 1/2ถ้วย""",แคลมาก,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"ยอดมะพร้าว,  ไข่ปลา,  ปลา,  น้ำสต็อก,  พริกแกงส้ม,  ข่า, ตะไคร้, ใบมะกรูด,  น้ำปลา,  น้ำตาลปี๊บ,  มะขามเปียก",อยากกินเมนูที่ใส่ไข่ปลาเรียวเซียว อร่อยๆ เป็นเมนูแกงๆยิ่งดี,อยากทำอาหาร ต้มๆ ที่มีไข่ปลา ,อยากกินเมนูที่มาจาก ยอกมะพร้าว ไข่ปลา หริก กระเทียม พริกไทย มีแนะนำไหม 
หอยทอด(ทะเลทอด),"""แป้งทอดกรอบ: 1ถ้วย
กุ้ง: 12ตัว
หมึก: 3ตัว
หอยแมงภู่: 100กรัม
น้ำเย็ดจัด: 1ถ้วย
นมสด: 1/2ถ้วย
ไข่ไก่: 3ฟอง
ถั่วงอกดิบ: ตามชอบ
พริกไทยป่น: ตามชอบ
ซีอิ้วขาว: 2ช้อนโต๊ะ
น้ำปลา: 1ช้อนโต๊ะ
น้ำตาล: 1ช้อนโต๊ะ
ต้นหอมผักชี: 2-3ต้น""",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"แป้งทอด,  กุ้ง,  หมึก,  หอย,  น้ำ,  นมสด,  ไข่ไก่,  ถั่วงอก, พริกไทย, ซีอิ้ว,  น้ำปลา,  น้ำตาล,  ต้นหอม",อยากกินหอยทอด กรอบๆ,อยากกินของทอดกรอบๆ ใส่หอยกับกุ้ง,มีเมนูแป้งกรอบๆ ใส่ทะเลอะไรแนะนำบ้าง
เส้นหมี่ผัดซีอิ๊วหมูนุ่ม,"""เส้นหมี่สำเร็จรูป: 180 กรัม
หมูนุ่ม: 200 กรัม
กระเทียมสับ: 1 ช้อนโต๊ะ
น้ำมันพืช: 2-3 ช้อนโต๊ะ
ซีอิ๊วดำสำหรับคลุกเส้น: 
ซีอิ๊วขาว: 3 ช้อนโต๊ะ
น้ำปลา: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนชา
ผักคะน้า: 2 ต้น
ไข่ไก่เบอร์ 1: 3 ฟอง""",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"เส้นหมี่,  หมู,  กระเทียม,  น้ำมันพืช,  ซีอิ๊วดำ,  ซีอิ๊วขาว,  น้ำปลา,  น้ำตาลทราย,  ผักคะน้า,  ไข่ไก่",มีเส้นหมี่ กับหมูนุ่ม กระเทียม ซีอิ้ว ไข่ ทำเมนุอะไรได้บ้าง,หิวเมนูผัดเส้นใส่หมูนุ่มๆ ทำง่ายๆ,อยากได้ผัดซีอิ๊วที่ใช้เส้นหมี่แบบไม่มันมาก
แกงเผ็ดเป็ดย่าง,"""เนื้อเป็ดย่างพร้อมหนัง: 1ถ้วย
มะเขือเทศ: 5-6ลูก
สับปะรดหั่น: 20 ชิ้น
มะเขือพวง: 1/4ถ้วย
ใบโหระพาเด็ด: 2ต้น
พริกแกง: 2-4ช้อนโต๊ะ
กะทิ: 1กล่อง
น้ำตาลปิ้บ: 2ช้อนโต๊ะ
น้ำปลา: 1/4ถ้วย""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"เป็ด,  มะเขือเทศ,  สับปะรด,  มะเขือ,  ใบโหระพา,  พริกแกง,  กะทิ,  น้ำตาลปิ้บ,  น้ำปลา",อยากกินเป็ดใส่สัปปะรดเพื่อความนุ่มน่าจะดี มีมะเขือเทศเพื่อเพิ่มสีสัน ไขมันน้อย กินอร่อยๆ,มีเมนูที่ใช้เป็ดย่างกับพริกแกงรสเข้มข้นแนะนำไหม,"อยากกินแกงที่ใส่เป็ด  มะเขือเทศ,  สับปะรด,  มะเขือ จะได้กำจัดของในตู้เย็นไปสักที"
ต้มยำกุ้งมะพร้าวอ่อน,"""พริกขี้หนู: 7 เม็ด
ตะไคร้: เล็กน้อย
ใบมะกรูด: เล็กน้อย
ข่า: เล็กน้อย
ผักชีฝรั่ง: เล็กน้อย
เห็ดนางฟ้า: 70 กรัม
เห็ดหลินขาว: 40 กรัม
เห็ดฟาง: 100 กรัม
เนื้อมะพร้าวอ่อน: 80 กรัม
น้ำมะพร้าว: 700 ml.
กุ้งแกะเปลือก: 200 กรัม
น้ำตาลทราย: 2 ช้อนชา
น้ำปลา: 6 ช้อนโต๊ะ
น้ำมะนาว: 6 ช้อนโต๊ะ
กะทิ: 100 ml.
น้ำพริกเผา: 2 ช้อนโต๊ะ
มันกุ้ง: 1 ช้อนโต๊ะ""",แคลมาก,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"พริก,  ตะไคร้, ใบมะกรูด, ข่า, ผักชีฝรั่ง, เห็ดนางฟ้า,  เห็ด,  เนื้อมะพร้าวอ่อน,  น้ำมะพร้าว,  กุ้ง,  น้ำตาลทราย,  น้ำปลา,  น้ำมะนาว,  กะทิ,  น้ำพริกเผา,  มันกุ้ง",มีมะพร่าวอ่อน กับเนื้อมะพร้าว ทำเมนูแซ่บๆ รสชาติจัดจ้านถึงเครื่อง ใส่เห็ดเยอะๆ,มีมะพร้าวอ่อน ทำเมนูอะไรได้บ้าง ขอเผ็ดๆ ,"พริก,  ตะไคร้, ใบมะกรูด, ข่า, ผักชีฝรั่ง, เห็ดนางฟ้า ทำอะไรกินได้บ้าง"
หมูทอดกระเทียม,"""หมูสันนอก หั่นชิ้น: 250 กรัม
รากผักชี กระเทียม พริกไทยโขลกละเอียด: 1/2 ช้อนโต๊ะ
ผงปรุงรส: 1 ช้อนโต๊ะ
แป้งข้าวโพด: 1 ช้อนโต๊ะ
น้ำมันพืช: สำหรับทอด
กระเทียมเจียว (โรยหน้า): ตามชอบ""",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"หมูสันนอก,  รากผักชี, กระเทียม, พริกไทย,  ผงปรุงรส,  แป้งข้าวโพด,  น้ำมัน, กระเทียม",อยากกินเมนูรสชาติทานง่าย ใชิ้ หมู กระเทียม,หิวเมนูหมูทอดหอมๆ กระเทียมเยอะๆ,มีอะไรทำกับหมูแบบทอดๆ ให้กลิ่นกระเทียมชัดๆ
หน่อไม้ผัดพริกแกงหมูสับ,"""หน่อไม้ต้ม ซอยบางๆ: 1 ถ้วย
น้ำพริกแกงเผ็ด: 2 ช้อนโต๊ะ
หมูสับ: 1/4 ถ้วย
ใบมะกรูดฉีก: 4-5 ใบ
พริกไทยอ่อนตัดสั้นๆ: 3-4 ฝัก
พริกชี้ฟ้าซอย: 1 เม็ด
น้ำตาลทราย: 1/2 ช้อนโต๊ะ
น้ำปลา: 1-2 ช้อนโต๊ะ""",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"หน่อไม้ต้ม,  น้ำพริก,  หมู,  ใบมะกรูด,  พริกไทย,  พริกชี้ฟ้า,  น้ำตาลทราย,  น้ำปลา",อยากกิน หน่อไม้ ใส่พริกแกง ปรุงรสให้มันอร่อยๆ,มีเมนูเผ็ดๆ ที่ใช้หน่อไม้กับหมูสับแนะนำไหม,อยากทำกับข้าวแบบผัดรสเข้มที่มีหน่อไม้
ขนมจีนน้ำพริก,"""กะทิ: 750 มล
ไตปลา: 3 ชต
กุ้ง: ½ โล
พริกแกงแดง: 1 ขีด
หอมเจียว: 1 ถ้วย
กระเทียมเจียว: 1 ถ้วย
ถั่วป่น: 1 ถ้วย
ระกำ หรือมะขามเปียก: ตามชอบ
น้ำตาลปี๊บ: 2 ชต
ผักชี: ตามชอบ""",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"กะทิ,  ไตปลา,  กุ้ง, พริกแกง, หอม,  กระเทียม,  ถั่ว,  มะขามเปียก, น้ำตาลปี๊บ,  ผักชี",อยากกินอาหารที่ใช้ กะทิ แกงไตปลา พริกแกง หอมเจียว ทำเมนูอะไรได้บ้าง,เมนูขนมจีนแบบรสนวลๆ หอมกะทิ,"อยากกิน กะทิ,  ไตปลา,  กุ้ง, พริกแกง, หอมๆ  "
ฉู่ฉี่ปลาหมอ,"""ปลาหมอตัวใหญ่ๆ: 2 ตัว
เครื่องแกงผัดเผ็ดภาคกลาง: 200 กรัม
เครื่องแกงพะแนงกับกระชายสับละเอียด: 100 กรัม
กระชายซอย: 50 กรัม
ใบมะกรูดซอย: 20 กรัม
กะทิคั้น: 400 กรัม
คะไคร้หั่นท่อน: 2 ต้น
ข่า: 20 กรัม
ใบมะกรูดฉีก: 15 กรัม
พริกขี้หนูสวน: 10-15 เม็ด""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"ปลาหมอ,  พริกแกง,  กระชาย,  ใบมะกรูด,  กะทิ,  คะไคร้,  ข่า,  ใบมะกรูด,  พริกขี้หนูสวน",ได้ปลาหมอตัวใหญ่มา แล้วมีพริกแกงเหลืออยู๋ กับข่า ทำอะไรกิน,"ทำอาหารจาก ปลาหมอ,  พริกแกง,  กระชาย,  ใบมะกรูด,  กะทิ",มีปลา ทำอะไรกินดี
แกงเทโพใส่หมูสามชั้น,"""หมูสามชั้น (หั่นชิ้นพอคำ ไม่ต้องหนามาก): 200 กรัม
ผักบุ้งไทย (หั่นท่อนพอคำ ล้างให้สะอาด): 400 กรัม
หัวกะทิ: 1 ถ้วย
หางกะทิ: 2 1/2 ถ้วย
น้ำมะขามเปียก: 3-4 ช้อนโต๊ะ
น้ำตาลปี๊บ: 1 ช้อนโต๊ะ
น้ำปลา: 3 ช้อนโต๊ะ
มะกรูด ผ่าครึ่ง เอาเมล็ดออก): 2 ลูก
เกลือ: 1 ช้อนชา
ใบมะกรูด: 4-5 ใบ
ผงปรุงรสคนอร์ อร่อยชัวร์: 2 ช้อนชา
น้ำพริกแกงเผ็ด: 100 กรัม""",แคลมาก,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"หมูสามชั้น,  ผักบุ้งไทย,  หัวกะทิ,  หางกะทิ,  น้ำมะขามเปียก,  น้ำตาลปี๊บ,  น้ำปลา,  มะกรูด,  เกลือ,  ใบมะกรูด,  ผงปรุงรสคนอร์,  น้ำพริก",ได้หมูสามชั้นมา อยากกินกับกะทิและผักบุ้ง ใส่คนอร์เพิ่มความนัว,อยากได้เมนูแกงใส่ผักบุ้งกับหมูมันๆ,แกงแบบไทยๆ รสเปรี้ยวหวาน หอมใบมะกรูดมีไหม
ขนมจีนน้ำยาป่าปลาดุกย่าง,"""ปลาดุกย่าง: 2 ตัว
กระเทียม: 5 กลีบ
หอมแดง: 5 หัว
กระชาย: 8 ราก
ตะไคร้: 2 ต้น
ใบมะกรูด​: 10 ใบ
พริกแห้ง: 7 เม็ด
ขนมจีน: 1 กิโล​กรัม
น้ำเปล่า: 6 ถ้วย
เกลือ: ปรุงรส""",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"ปลา,  กระเทียม,  หอมแดง,  กระชาย,  ตะไคร้,  ใบมะกรูด​,  พริกแห้ง,  ขนมจีน,  น้ำเปล่า,  เกลือ",มีปลาได้มา อยากกินกับขนมจีน กระชาย ไขมันน้อย,"มีเส้นขนมจีนเหลืออยู่ เลยอยากกินน้ำยาเผ็ดๆ ที่หอมสมุนไพรแบบเข้มข้น
",มีเมนูขนมจีนที่ใช้ปลาย่างแทนปลาต้มไหม
ผัดเปรี้ยวหวานไก่กรอบ,"""สันในไก่หั่นชิ้นพอดีคำ: 2-3 เส้น
แป้งอเนกประสงค์: 1 ถ้วย
หอมใหญ่ปอก หั่นเสี้ยว: 1 ลูก
มะเขือเทศสีดาผ่าครึ่ง: 2-3 ลูก
พริกหวานหั่นพอดีคำ: 1/2 ลูก
แตงร้าน ปอกเปลือก หั่นชิ้นพอดีคำ: 1/2 ลูก
เห็ดหอมสดผ่าสี่: 2 ดอก
ต้นหอมหั่นท่อน: 3-4 ต้น
กระเทียมสับ: 1 ช้อนโต๊ะ
น้ำตาลทราย: 1 ช้อนโต๊ะ
ซอสปรุงรส: 1 ช้อนโต๊ะ
ซอสมะเขือเทศ: 1/2 ถ้วย
น้ำส้มสายชู: 1 ช้อนโต๊ะ""",แคลมาก,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"ไก่,  แป้งอเนกประสงค์,  หอมใหญ่,  มะเขือเทศ,  พริกหวาน,  แตง,  เห็ดหอม, ต้นหอม,  กระเทียม,  น้ำตาลทราย,  ซอสปรุงรส,  ซอสมะเขือเทศ,  น้ำส้มสายชู",ได้สันไนไก่มา อยากทำอาหารที่กินง่ายๆ รสชาติหวาน อร่อย ใช้แป้ง พริกหวาน,อยากทำอาหารที่ ทอดๆ เปรี้ยวๆ หวานๆ ทำจากไก่ พริกหยวกที่เหลือในตู้เย็น ,เมนูไก่ที่รสเปรี้ยวหวานแบบเด็กกินได้ทำไงดี
บะหมี่ผัดเย็นตาโฟแห้ง,"""บะหมี่: 1
ลูกชิ้นปลา: ตามชอบ
ลูกชิ้นกุ้ง: ตามชอบ
ฮื่อก๊วย: ตามชอบ
เกี๊ยวปลา: ตามชอบ
ปลาหมึกกรอบ: ตามชอบ
ผักบุ้งไทย: ตามชอบ
ซอสเย็นตาโฟ: 1
พริกแดงจินดา: 4-5 เม็ด
กระเทียม: 3-4 กลีบ
ซอสหอยนางรม: 1/2 ช้อนโต๊ะ
น้ำตาล: 1/2 ช้อนชา
ซีอิ๊วขาว: 1/2 ช้อนชา
น้ำส้มสายชู: 1 ช้อนชา
น้ำมัน: 1/2 ช้อนโต๊ะ""",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"บะหมี่,  ลูกชิ้นปลา, ลูกชิ้นกุ้ง, ฮื่อก๊วย, เกี๊ยวปลา, ปลาหมึกกรอบ, ผักบุ้งไทย, ซอสเย็นตาโฟ,  พริกแดง,  กระเทียม,  ซอสหอยนางรม,  น้ำตาล,  ซีอิ๊วขาว,  น้ำส้มสายชู,  น้ำมัน",อยากกินเมนูเส้นๆ มีลูกชิ้นต่างๆ รสชาติ เปรี้ยวๆ หวานๆ ทำอะไรกินดี,"หิวเมนูเส้นที่มีลูกชิ้นปลาและซอสเย็นตาโฟ
","อยากกินก๋วยเตี้ยวที่มีลูกชิ้นปลา, ลูกชิ้นกุ้ง, ฮื่อก๊วย, เกี๊ยวปลา, ปลาหมึกกรอบ, "
แกงเขียวหวานไก่ใส่หน่อไม้,"""ไก่สับ: 1/2 ตัว
เลือดไก่: 1 ก้อน
มะเขือเปราะ: 500 กรัม
หน่อไม้: 1 หน่อ
โหระพา: 4 กิ่ง
พริกแกงเขียวหวาน: 150 กรัม
กะทิ: 1000 มิลลิลิตร
น้ำตาลปี๊บ: 1 ช้อนโต๊ะ
ผงปรุงรส: 2 ก้อน
น้ำปลา: 2 ช้อนโต๊ะ
มะเขือพวง: 50 กรัม""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"ไก่,  เลือดไก่,  มะเขือเปราะ,  หน่อไม้,  โหระพา,  พริกแกงเขียวหวาน,  กะทิ,  น้ำตาลปี๊บ,  ผงปรุงรส,  น้ำปลา,  มะเขือพวง",อยากกินแกงเขียวหวานไก่สับ รสชาติดี,อยากทำแกงไก่ใส่หน่อไม้กับมะเขือพวง,อยากกินแกง ที่กลิ่นหอม ใช้ไก่ทุกส่วน ทั้งเนื้อ เลือด ยิ่งใส่มะเขือด้วยยิ่งดี 
"“ผัดใบมะกอก""","{'พริกแห้งแบบเผ็ดมาก': 6, 'พริกแห้งแบบเผ็ดน้อย': 15, 'หอทแดง': 15, 'กระเทียมกลีบ': 12, 'ข่า': 1, 'ใบมะกอก': 2, 'หมูสับ': '200 กรัม', 'น้ำปลา': '2-3 ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '1-2 ช้อนโต๊ะ', 'น้ำมันพืช': '2 ช้อนโต๊ะ', 'น้ำสะอาด': '3 ช้อนโต๊ะ'}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บกลาง,"พริกแห้ง,  หอมแดง,  กระเทียม,  ข่า,  ใบมะกอก,  หมูสับ,  น้ำปลา,  น้ำตาลปี๊บ,  น้ำมัน,  น้ำ",มี กระเทียม  ข่า ใบมะกอก หมูสับเยอะมาก ทำอะไรกินดี,อยากกินเมนูผัดรสจัดที่ใช้ใบมะกอก,"ทำอะไรดีจาก  กระเทียม,  ข่า,  ใบมะกอก,  หมูสับ"
ยำสามกรอบ ,"{'หมูแผ่นอบกรอบ': '', 'หนังไก่กรอบ': '', 'เมล็ดมะม่วงหิมพานต์': '', 'หัวหอมใหญ่': '', 'ขึ้นฉ่าย': '', 'พริกขี้หนู': '', 'น้ำปลา': '', 'มะนาว': '', 'น้ำเชื่อม': '', 'น้ำเปล่า': ''}",แคลมาก,โปรตีนน้อย,ไขมันสูง,คาร์บน้อย,"หมูแผ่น, หนังไก่กรอบ, เมล็ดมะม่วงหิมพานต์, หัวหอม, ขึ้นฉ่าย, พริกขี้หนู, น้ำปลา, มะนาว, น้ำเชื่อม, น้ำเปล่า",อยากกินอะไรกรอบๆ ที่บ้านมี หมูแผ่น  หนังไก่กรอบ เมล็ดมะม่วงหิมพานต์ หัวหอม ทำอะไรได้บ้าง,มีเมนูยำที่เน้นของกรอบๆ หลายชนิดไหม,อยากกินยำที่มีหมูแผ่น หนังไก่ แล้วก็ถั่ว
Black Orange coffee กาแฟส้ม,"{'กาแฟเข้มข้น': '1-2 ออนซ์', 'ไซรัปรสส้ม': '1 ออนซ์', 'น้ำเชื่อม': '1/2 ออนซ์', 'น้ำเปล่า': '2 ออนซ์', 'น้ำแข็ง': '1 แก้ว'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"กาแฟเข้มข้น, ไซรัปรสส้ม, น้ำเชื่อม, น้ำเปล่า, น้ำแข็ง",อยากกินกาแฟ รสชาติที่แตกต่างไปจากเดิม,อยากดื่มกาแฟเย็นที่มีรสส้มๆ สดชื่น,มี กาแฟ ส้ม น้ำตาล ชาเขียว สตอเบอรรี่ ทำอะไรได้บ้าง แต่อยากกินกาแฟเป็นหลัก
กระดูกหมูนึ่งเต้าเจี้ยว,"{'กระดูกหมู': '300 กรัม', 'เต้าเจี้ยว (ลีกุมกี่)': '1 1/2 ช้อนโต๊ะ', 'แป้งข้าวโพด': '1 ช้อนชา', 'ซีอิ้วขาว': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': 'นิดหน่อย', 'เกลือ': 'นิดหน่อย', 'น้ำมันพืช': '1 ช้อนโต๊ะ'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"กระดูกหมู, เต้าเจี้ยว, แป้งข้าวโพด, ซีอิ้วขาว, น้ำตาลทราย, เกลือ, น้ำมัน",อยากใช้กระดูกหมุและเต้าเจี้ยวให้หมด ทำเมนูอะไรดี,อยากกินของนึ่งที่รสออกเค็มๆ หอมเต้าเจี้ยว,เมนูที่ใช้กระดูกหมูตุ๋นหรือนึ่งแบบจีนๆ มีไหม
กระเพาะปลา,"{'โครงไก่': '1 โครง', 'น้ำเปล่า': '6 ถ้วย', 'น้ำตาลกรวด': '2 ช้อนชา', 'เกลือสมุทร': '1 ช้อนชา', 'เก๋ากี้': '1 ช้อนโต๊ะ', 'กระเทียมสด': '5 กลีบ', 'รากผักชี': '3 ราก', 'พริกไทย': '30 เม็ด', 'กระเพาะปลาแห้ง': '70 กรัม', 'หน่อไม้สด': '50 กรัม', 'เห็ดหอม': '6 ดอก', 'เลือดไก่': '50 กรัม', 'ไก่ฉีก': '30 กรัม', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'จิ๊กโฉ่ว': '2 ช้อนชา', 'แป้งมันฮ่องกง': '1 ช้อนโต๊ะ'}",แคลมาก,โปรตีนกลาง,ไขมันสูง,คาร์บกลาง,"โครงไก่, น้ำเปล่า, น้ำตาลกรวด, เกลือ, เก๋ากี้, กระเทียม, รากผักชี, พริกไทย, กระเพาะปลาแห้ง, หน่อไม้, เห็ดหอม, เลือดไก่, ไก่, น้ำมันหอย, ซีอิ๊วขาว, จิ๊กโฉ่ว, แป้งมัน",อยากกินอาหารเหมือนอยู่ในภัตตาคาร ใช้โครงไก่ทำน้ำซุป และพอดีมีกระเพาะปลาแป้ง หน่อไม้ เห็ด ไก่ ทำอะไรดี,อยากทำอาหาร ที่ใส่เครื่องแน่นๆ แบบร้านอาหารจีน,มีโครงไก่ เครื่องเทศ ต่างๆ ทำอะไรได้บ้าง
กล้วยน้ำว้าอบ หวานจากธรรมชาติ,{'กล้วย': '1 หวี'},แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,กล้วย,อยากเอากล้วยมาทำขนม,ทำของหวานจากกล้วยที่ไม่ใส่น้ำตาล,มีกล้วยเยอะมาก เลยอยากกินขนมอบที่ใช้กล้วยล้วนๆ ไม่มีน้ำมัน
กล้วยน้ำว้าอบงาขาว,{'กล้วยน้ำว้า': 1},แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บน้อย,"กล้วย, งาขาว",อยากใช้ งาขาว กับ กล้วยมาทำขนใรสชาติดี เป็นของหวาน,อยากได้ขนมว่างที่ทำจากกล้วยกับงา,มีกล้วยกับงาเยอะมาก ทำอะไรขนมหวานอะไรกินดี
กล้วยบวชชี,"{'กล้วยน้ำว้า': '8 ลูก', 'หัวกะทิ': '225 มิลลิลิตร', 'หางกะทิ': '300 มิลลิลิตร', 'ใบเตย': '2 ใบ', 'น้ำตาลปี๊บ': '30 กรัม', 'น้ำตาลทรายขาว': '20 กรัม', 'เกลือ': '¼ ช้อนชา', 'แป้งมัน': '1 ช้อนชา'}",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"กล้วยน้ำว้า, หัวกะทิ, หางกะทิ, ใบเตย, น้ำตาลปี๊บ, น้ำตาลทรายขาว, เกลือ, แป้งมัน",อยากกินขนมไทย ทำจากกล้วยและกะทิ ,อยากกินขนมไทยที่ใส่กะทิ หวานมัน,มีเมนูที่ใช้กล้วยกับหัวกะทิรสละมุนบ้างไหม
กล้วยอบเนยไมโครเวฟ,"{'กล้วยน้ำว้า': '4 ผล', 'น้ำเชื่อม': '50 มิลลิลิตร', 'เนยจืด': '75 กรัม', 'งาขาว': '20 กรัม'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บน้อย,"กล้วยน้ำว้า, น้ำเชื่อม, เนยจืด, งาขาว",ขนมทำเองง่ายๆ มช้ไมโครเวฟ ทำมาจาก กลัวย เนย,หาขนมง่ายๆ ที่ใช้กล้วยกับเนยทำในไมโครเวฟ,อยากกินของหวานกล้วยๆ ที่ทำไม่เกิน 10 นาที
ก๋วยเตี๋ยวคั่วไก่ แบบง่าย แต่อร่อย,"{'เส้นใหญ่': '300 กรัม', 'ไข่ไก่': '2 ฟอง', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'น้ำตาล': '2 ช้อนชา', 'เกลือ': '1/2 ช้อนชา', 'ต้นหอม': 'ผักชีซอย1 ช้อนโต๊ะ', 'น้ำมันพืชหรือน้ำมันหมู': 'เล็กน้อย', 'อกไก่หั่นชิ้น': '200 กรัม', 'น้ำตาลทราย': '1 ช้อนชา', 'แป้งมัน': '1 ช้อนโต๊ะ', 'พริกไทย': '1/2 ช้อนชา'}",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"เส้นใหญ่, ไข่ไก่, ซีอิ๊วขาว, น้ำตาล, เกลือ, ต้นหอม ผักชี, น้ำมัน, อกไก่, น้ำตาลทราย, แป้งมัน, พริกไทย",อยากกินเมนุเส้นๆ ทำมาจากเส้นใหญ่ๆ ใส่ ไก่ ใส่ไข่เยิะๆ,อยากทำก๋วยเตี๋ยวผัดแบบกรอบนอกนุ่มใน,อยากทำอาหารจากมนูเส้นที่ใส่ไก่กับไข่ แบบคั่วแห้งๆ
ก๋วยเตี๋ยวคั่วไก่ สูตรคลีน,"{'เนื้อไก่': '100 กรัม', 'น้ำตาลทรายไม่ขัดสี': '½ ช้อนชา', 'พริกไทยป่น': '1 ช้อนชา', 'ซีอิ๊ว Low Sodium': '1 ช้อนชา', 'เส้นแครอท': '1 ถ้วยตวง', 'ไข่ไก่': '1 ฟอง', 'ซีอิ๊วขาว Low Sodium': '1 ช้อนชา', 'ซอสหอยนางรม Low Sodium': '1 ช้อนชา', 'น้ำมันพืช': '1 ช้อนชา', 'ต้นหอมซอย': '1 ต้น'}",แคลกลาง,โปรตีนน้อย,ไขมันกลาง,คาร์บกลาง,"เนื้อไก่, น้ำตาลทราย, พริกไทย, ซีอิ๊ว, แครอท, ไข่ไก่, ซีอิ๊วขาว , ซอสหอยนางรม, น้ำมันพืช, ต้นหอม, พริกไทย",อยากทำอาหารที่ดีต่อสุขภาพเหมาะกับคนคลีนๆ ใช้ไก่เยอะๆ และน้ำตาลทรายไม่ขัดสี มีเส้นใหญ่,"อยากกินอะไรคลีนๆ ตอนนี้มีไก่ เส้น น้ำมันเล็กน้อย น้ำตาล ผักกาด 
",อยากได้เมนูสุขภาพที่ใส่ซีอิ๊วแต่ไม่เค็มเกินไป
