ชื่ออาหาร,วิธีทำ
กล้วยน้ำว้าอบงาขาว,"1
ปอกเปลือกกล้วย และหั่นกล้วยให้เป็นแนวยาว แบ่งเป็น 4 ส่วน

2
วางกระดาษรองอบ นำกล้วยมาวางเรียงกัน

3
โรยงาขาว

4
นำเข้าเตาอบโดยใช้ไฟอ่อน ใช้ไฟ 170 องศา อบเป็นเวลา 70-90 นาที

5
เสร็จแล้วค่ะ"
น้ำสามเกลอทะลายไขมัน,"เตรียมนำมะตูม กระเจี๊ยบ​ และ​ พุทรา​ นำมาล้างให้สะอาด​3​ครั้ง​ก่อนทำการต้มคะ​ และต้มในน้ำปริมาณดังกล่าว​ ใช้ไฟเบาที่สุด​ ต้มจนเดือดใช้เวลานานพอสมควร​
เคล็ดลับ: ควรดูสภาพพุทธาต้องสีแดงสดนะคะ​ ใช้อัตราตามสัดส่วน​ และใช้น้ำในปริมาณพอดี​ จะได้เข้มข้น​ ดื่มผสมน้ำอุ่นๆก็ช่วยแก้เจ็บคอ​ หากดื่มเย็นๆ​ ก็ชื่นใจคะ"
โจ๊กข้าวโอ๊ต,"นำข้าวโอ๊ต และสาหร่ายแห้ง ลงไปต้มกับน้ำร้อนจนเดือด พอข้าวโอ๊ตเดือด เติมไข่ขาวลงไปแล้วคนเรื่อย ๆ จนเนื้อโจ๊กข้นขึ้น
เคี่ยวจนเดือด เนื้อโจ๊กสีขาวขึ้นและข้นขึ้น จากนั้นเติมกุ้งสับ และบร็อคโคลี ต้มต่อไปซักพักจนบรอคคอลี่เข้ากับเนื้อโจ๊กก็ปิดไฟ ตักเสิร์ฟได้"
ข้าวต้มปลา,"ตั้งหม้อบนเตา ใส่น้ำซุปกระดูกหมู ข่าหั่นแว่น และรากผักชีลงไป ต้มให้เดือด แล้วตามด้วย เนื้อปลากะพงแดง และเห็ดหอม
เมื่อเนื้อปลาสุก ปรุงรสด้วย ซีอิ๊วขาว และพริกไทยป่น
ตักน้ำซุป และเนื้อปลาที่ต้มไว้ ราดลงบนข้าวสวย โรยตกแต่งด้วย ขึ้นฉ่าย ต้นหอม และกระเทียมเจียว เท่านี้ก็พร้อมรับประทาน"
ไข่ตุ๋นทรงเครื่อง,"ตอกไข่ไก่ใส่ลงภาชนะ ตามด้วยซีอิ๊วขาว น้ำมันหอย น้ำตาลทราย พริกไทย น้ำเปล่า และน้ำมัน ผสมให้ส่วนผสมเข้ากัน แล้วจึงใส่แครอทหั่นเต๋า กุ้งสับ ผสมให้เข้ากันอีกครั้ง
เทส่วนผสมลงในถ้วยสำหรับนึ่ง ความประมาณเกือบเต็มถ้วย แล้วนึ่งไฟอ่อนประมาณ 25 นาที เพื่อให้เนื้อไข่ตุ๋นเนียนละเอียด
เมื่อไข่ตุ๋นเริ่มสุก วางแครอทหั่นชิ้นลงไป ตามด้วยกุ้งขาว และเห็ดหอม จากนั้นตุ๋นต่อไปอีกประมาณ 5 นาทีหรือจนส่วนผสมสุกทั้งหมด แล้วจึงโรยต้นหอมซอย จัดเสิร์ฟ"
ซุปเห็ด,"ล้างเห็ดให้สะอาด นำมาหั่นเป็นชิ้นบาง ๆ
นำเนยจืดใส่หม้อ ใส่หอมใหญ่ผัดให้พอเริ่มใส ไฟอย่าร้อนมาก ระวังอย่าให้หอมไหม้เดี๋ยวซุปออกมาสีไม่สวย
ส่แป้งสาลีตามลงไป เทไปคนไปอย่าให้แป้งจับตัวเป็นก้อน เติมน้ำสต็อก เห็ดแชมปิยอง ปรุงรสด้วยเกลือ พริกไทย ใส่นมสด คนให้เข้ากันเรื่อย ๆ จนซุปเดือด
ตักใส่ถ้วยซุป โรยพริกไทยดำ ตกแต่งด้วยใบพาร์สลีย์สด"
ซุปฟักทอง,"นำฟักทองมาหั่นให้เป็นชิ้นเล็ก ก่อนนำไปผัด
ตั้งหม้อบนเตาแก๊สโดยใช้ไฟปานกลาง เมื่อกระทะเริ่มร้อนใส่เนยลงไปผัด ตามด้วยหอมใหญ่สับลงไปผัดให้สุก ต่อด้วยการใส่ฟักทองลงไป และเติมน้ำสต็อกเพื่อเคี่ยวต่อให้ฟักทองสุก เมื่อฟักทองสุกแล้วยกลงจากเตา
นำซุปฟักทองที่ได้ลงไปปั่นให้ละเอียดในเครื่องปั่นให้ละเอียด
นำซุปฟักทองที่ปั่นเสร็จแล้วมาตั้งไฟ ใส่นมสด และเกลือเล็กน้อย
เมื่อซุปเริ่มข้นแล้วยกลงจากเตา เตรียมจัดเสิร์ฟได้เลย
ตักใส่ถ้วยที่ต้องการจัดเสิร์ฟ จากนั้นโรยพริกไทยดำ และเสิร์ฟคู่กับขนมปัง"
ต้มเลือดหมู,"ตั้งน้ำในหม้อบนไฟกลางๆ ใส่ซุปก้อน ตั้งฉ่าย รอให้เดือดซักพัก ให้น้ำซุปมีกลิ่นหอม
ปั้นหมูสับหมักเป็นก้อนเล็กใส่ลงไปในน้ำที่กำลังเดือด รอให้สุก
ใส่หมูชิ้นลวก ตับลวก เต้าหู้หลอด ปรุงรสน้ำซุปด้วยน้ำปลา ซอสปรุงรส ชิมรสตามใจชอบ
ใส่เลือดหมู พอเดือดดีใส่คึ่นฉ่ายกับต้นหอม พอเดือดอีกทีปิดไฟได้ ก่อนเสิร์ฟ ใส่ตำลึงก้นถ้วยแล้วตักต้มเลือดหมูราดทับ"
แกงจืดไข่น้ำหมูสับ,"ผสมหมูสับ พริกไทยป่น ซอสเห็ดหอม ซีอิ๊วขาว น้ำปลา คลุกเคล้าพอเข้ากัน หมักทิ้งไว้ประมาณ 15-20 นาที
ตีไข่ไก่พอแตก ปรุงรสด้วยน้ำปลา ตีพอเข้ากัน นำลงทอดในน้ำมันพืชขณะร้อน พอสุกตักขึ้น หั่นเป็นชิ้นพักไว้
เติมน้ำเปล่าลงไปในกระทะใบเดิม ใส่รากผักชี กระเทียม พริกไทยเม็ด พอเดือดปั้นหมูสับที่หมักไว้เป็นก้อนกลมลงต้มพอสุก ใส่เกลือป่น คอยช้อนฟองออก
ปรุงรสด้วยซีอิ๊วขาว น้ำปลา คนพอเข้ากัน ใส่ผักกาดขาวพอสุก ใส่ไข่เจียวที่เตรียมไว้
คนพอเข้ากันตักใส่ภาชนะ โรยต้นหอม ผักชี กระเทียมเจียว จัดเสิร์ฟ"
ต้มจับฉ่ายน่องไก่,"นำรากผักชี กระเทียม และพริกไทยไปโขลกให้ละเอียด
นำสามเกลอที่โขลกไว้มาผัดกับน้ำมันในกระทะพอให้มีกลิ่นหอม จากนั้นนำแครอท หัวไชเท้า ลงไปผัดสักครู่ ตามด้วยใส่ผักโขม กะหล่ำปลี และกวางตุ้งลงไปผัดให้ผักพอสลด พักไว้
นำผักที่ผัดเมื่อสักครู่ใส่ลงหม้อที่มีน้ำ เมื่อน้ำเริ่มเดือดให้ใส่น่องไก่ลงไป
ปรุงรสด้วย ซอสปรุงรส ซีอิ๊วขาว เกลือป่น ซอสหอยนางรม และน้ำตาลปี๊บ ตามด้วยใส่เห็ดหอมลงไป
ใช้ไฟกลางแล้วเคี่ยวไปเรื่อย ๆ โดยใช้เวลา 20 - 30 นาที หรือเคี่ยวจนผักเปื่อย และนิ่ม จากนั้นใส่ขึ้นฉ่ายลงไปคนให้เข้ากัน ปิดไฟ
ตัก “ต้มจับฉ่ายน่องไก่” ใส่ชาม จัดแต่งให้สวยงาม เสิร์ฟพร้อมข้าวสวยร้อน ๆ"
กระเพาะปลา,"ต้มน้ำซุปโดยใส่โครงไก่ เกลือ น้ำตาลกรวด รากผักชี กระเทียม พริกไทยเม็ด เก๋ากี้
ตั้งน้ำร้อน แล้วตามด้วยกระเพาะปลา ต้มจนเริ่มนิ่ม แล้วจึงนำขึ้นแช่น้ำ
เมื่อเริ่มอุ่น ให้ค่อย ๆ บีบน้ำออกจากกระเพาะปลา แล้วล้างอีกครั้ง จากนั้นบีบน้ำออกใหม่ ควรล้าง 2 รอบ แล้วนำไปตัดเป็นชิ้นพอดีคำ
นำกระเพาะปลาใส่ในน้ำซุปที่ตั้งไว้ แล้วตุ๋นไว้ประมาณ 20 นาที
ปรุงรสด้วย น้ำมันหอย ซีอิ๊วขาว จิ๊กโฉ่ว แล้วจึงใส่เห็ดหอม หน่อไม้ เลือดไก่ คนให้เข้ากัน
นำแป้งมันฮ่องกงมาละลายน้ำ อัตราส่วน 1:1 ค่อย ๆ เทใส่ในหม้อขณะเดือด แล้วคนให้พอข้น
ตักใส่ชามโรยหน้าด้วยไก่ฉีก และตกแต่งด้วยผักชี “กระเพาะปลา” ของเราก็พร้อมรับประทาน"
ไก่ตุ๋นมะนาวดอง,"นำเห็ดหอมแช่น้ำทิ้งไว้ 10 นาที เตรียมไว้ จากนั้นปอกเปลือก และหั่นฝักขนาดชิ้นพอดีคำ เตรียมไว้ และโขลก กระเทียม พริกไทย รากผักชีให้ละเอียด
ตั้งกระทะ ใส่น้ำมัน เจียวสามเกลอให้หอม หลังจากนั้นใส่เนื้อไก่ ทอดพอให้เนื้อไก่ขึ้นสี
ตามด้วยเห็ดหอมแห้ง ผัดให้หอม แล้วตักขึ้นพักไว้
ตั้งหม้อ เทน้ำเปล่า ใส่เนื้อไก่ที่ผัดสามเกลอและเห็ดหอม ตุ๋นทิ้งไว้ 30 นาที
ใส่ฟัก และมะนาวดอง ปรุงรสด้วย ซีอิ๊วขาว เกลือ ต้มอีก 5 นาที แล้วปิดไฟ ยกขึ้นจากเตาจัดเสิร์ฟ พร้อมข้าวสวย"
ต้มยำปลากะพงน้ำใส,"ต้มน้ำเปล่า ใส่ตะไคร้ ข่า ใบมะกรูด หอมแดง เปิดไฟแรง
พอน้ำเดือด ใส่ซุปก้อน และเนื้อปลากะพงลงต้มพอสุก เพื่อไม่ให้เหม็นคาว ให้ใส่ปลาตอนน้ำเดือดจัด และเมื่อใส่ปลาแล้ว ห้ามคนเด็ดขาด จนกว่าเนื้อปลาจะสุก
ปรุงรสด้วยน้ำปลา น้ำมะนาว พริกขี้หนู คนพอเข้ากัน ใส่ใบกะเพราคนให้เข้ากันอีกครั้ง ตักใส่ภาชนะ จัดเสิร์ฟร้อน ๆ ได้เลยค่ะ"
แกงส้มผักรวมกุ้งสด,"ตั้งน้ำสะอาดจนเดือด เติมพริกแกงส้มลงไป คนให้ละลายเข้ากันดี
ปรุงรสด้วยน้ำมะขามเปียก น้ำตาลปี๊บ และน้ำปลา ต้มต่อสักครู่
ใส่ผักแข็งลงไปก่อน เช่น แครอท ข้าวโพดอ่อน ถั่วฝักยาว และตามด้วยกะหล่ำปลี ต้มจนผักสุก จากนั้นใส่กุ้งลงไป
พอกุ้งสุกดีก็ปิดไฟ ตักใส่ถ้วยสำหรับจัดเสิร์ฟได้เลยค่ะ"
ปลานึ่งสมุนไพร,"หั่นข่าเป็นแว่นหนาประมาณครึ่งเซนติเมตร บุบกระเทียมและหอมแดงให้แตกเล็กน้อย เพื่อให้มีกลิ่นหอมมากขึ้น หั่นตะไคร้ส่วนบนออกแล้วพักไว้
บุบและหักครึ่งตะไคร้ส่วนล่างให้มีขนาดพอจะยัดท้องปลาได้ ฉีกใบมะกรูดเพื่อให้น้ำมันหอมระเหยออกมาได้ดีขึ้น
ทาเกลือให้ทั่วตัวปลาทั้งสองด้าน การทาเกลือจะช่วยให้ปลาไม่คาว
นำเครื่องสมุนไพรที่เตรียมไว้ยัดใส่ท้องปลาให้แน่น
โดยเริ่มขั้นแรกจากวางปลาบนลังถึงหรือตะแกรงที่ใช้นึ่งบนน้ำเดือด วางใบโหระพา ข่า กระเทียม และหอมแดงที่เหลือบนตัวปลา ใส่ตะไคร้ส่วนบนที่พักไว้ลงในน้ำเดือด เพื่อให้ไอน้ำที่ใช้นึ่งมีกลิ่นตระไคร้ เป็นการเพิ่มความหอมและลดความคาวของปลา
นึ่งปลาให้สุกโดยใช้เวลาประมาณ 15 - 20 นาทีขึ้นกับขนาดของปลา
เมื่อครบเวลาจัดเสิร์ฟกับผักนึ่งและข้าวกล้องร้อน ๆ ทานคู่กับน้ำจิ้มซีฟู้ดหรือน้ำจิ้มแจ่วตามต้องการ"
ผัดเต้าหู้เห็ดหอมเจ,"นำกระทะตั้งไฟใส่น้ำมันพืชลงไป รอจนน้ำมันร้อนใส่เห็ดหอมสดลงไป ตามด้วยน้ำสต๊อกผักนิดหน่อยค่ะ
ปรุงรสด้วยซอสถั่วเหลืองสูตรเจ น้ำตาลทราย และซอสปรุงรสสูตรเจ ผัดให้ส่วนผสมเข้ากันดี
หลังจากนั้นใส่เต้าหู้เหลืองทอดตามลงไปค่ะ ผัดให้เข้ากันอีกครั้ง ดูจนส่วนผสมทุกอย่างสุกได้ที่ แล้วปิดไฟได้เลยค่ะ
นำผัดเต้าหู้เห็ดหอมเจตักใส่จาน ตกแต่งให้สวยงาม จัดเสิร์ฟขึ้นโต๊ะได้เลยค่ะ"
เต้าหู้ยัดไส้นึ่งซีอิ๊ว,"ผสมหมูสับ เห็ดหอมสับ และต้นหอมซอยเข้าด้วยกัน ปรุงรสด้วยซีอิ๊วขาว น้ำตาล และพริกไทย คลุกผสมให้เข้ากัน พักไว้
หั่นเต้าหู้ขาวเป็น 4 ชิ้น แล้วบั้งตรงกลางให้ใส่ไส้เข้าไปได้ นำหมูสับที่คลุกผสมไว้มาปั้นเป็นก้อน แล้วยัดเข้าไปตรงกลางของเต้าหู้ที่บั้งไว้
นำเต้าหู้ที่ยัดไส้หมูแล้ว มาใส่ลังถึง นึ่งไฟกลาง เป็นเวลา 20 นาที เมื่อครบ 20 นาที จึงนำขึ้น พักไว้
ผสมซีอิ๊วขาว ซอสหอยนางรม น้ำตาลทราย เหล้าจีน น้ำมันงา น้ำซุป และพริกไทย ลงในหม้อ คนให้เข้ากัน ตั้งไฟให้เดือด
นำน้ำราดที่ทำไว้ ราดลงบนเต้าหู้ยัดไส้ โรยตกแต่งด้วยต้นหอม และพริกชี้ฟ้า เป็นอันพร้อมเสิร์ฟ"
ดอกกุยช่ายผัดตับ,"ลวกตับในน้ำเดือด ให้ตับสุก ๆ ดิบ ๆ แล้วตักขึ้นพักไว้
ตั้งกระทะใส่น้ำมันไฟกลาง ใส่กระเทียมลงไปผัด พอเหลืองใส่ตับลงไปผัดจนตับสุก
ใส่ดอกกุยช่ายลงไปผัด เติมน้ำที่ลวกตับลงไปเล็กน้อย แล้วปรุงรสตามชอบ ผัดให้เข้ากัน จนผักสลบ พร้อมเสิร์ฟ"
ผัดดอกกุยช่ายกุ้ง,"นำกระทะขึ้นตั้งไฟปานกลาง เทน้ำมันพืชลงไป รอน้ำมันร้อน ใส่กระเทียมสับ ผัดจนเหลืองหอม
ใส่กุ้งขาว ผัดจนเนื้อกุ้งกลายเป็นสีส้ม พอกุ้งเปลี่ยนเป็นสีส้มก็ปรุงรสด้วยน้ำมันหอย ซีอิ๊วขาว น้ำตาลทราย และน้ำเปล่า ตามด้วยดอกกุยช่ายหั่นทอน ผัดจนสุก ตักใส่จาน พร้อมเสิร์ฟ"
ทอดมันปลา,"นำปลายี่สกที่ซื้อมามานวด อาจจะนวดในถุงก็ได้ค่ะ นวดไปเรื่อยๆสักประมาณ 10 นาทีเพื่อให้เนื้อปลามีความเหนียวขึ้น
นำพริกแกงแดง 1 ขีดใส่ในเนื้อปลา และผสมให้ทั่วเนื้อปลา ใส่ถั่วฝักยาวซอย ตามด้วยใบมะกรูดซอย ผสมทุกส่วนให้เข้ากันและนำลงไปทอดในน้ำมันเดือด ๆ
นำน้ำจิ้มไก่ ผสมกับน้ำส้มสายชูและถั่วบด ทานคู่กับแตงกวาเป็นอันเสร็จค่ะ"
ก๋วยเตี๋ยวหลอดทรงเครื่อง,"ทำน้ำจิ้มโดยนำน้ำส้มสายชู พริกแดงสับ ซีอิ๊วขาว และน้ำเชื่อมผสมเข้าด้วยกัน เตรียมใส่ถ้วยไว้
นำหม้อขึ้นตั้งไฟปานกลาง ใส่ผงพะโล้ลงไป ตามด้วยพริกไทยป่น และเกลือป่น คั่วจนหอม
ใส่น้ำตาลปี๊บลงไป แล้วคนให้เข้ากันจนน้ำตาลปี๊บละลาย
ใส่หมูสามชั้น เต้าหู้ขาว และกุ้งแห้ง ผัดให้เข้ากัน แล้วเทน้ำเปล่าลงไป ตามด้วยรากผักชี ปรุงรสด้วยซีอิ๊วดำหวาน ตุ๋นจนน้ำข้นขึ้น และหมูสามชั้นเปื่อย
นำถั่วงอกใส่จาน ตามด้วยต้นหอม เส้นใหญ่ และน้ำราด เสิร์ฟพร้อมน้ำจิ้มที่เตรียมไว้"
สลัดปลาหิมะย่าง,"นำปลาหิมะมาปรุงรสด้วยเกลือ และพริกไทยเล็กน้อย หมักทิ้งไว้สักครู่
นำปลาหิมะที่หมักไว้ลงย่างในกระทะที่มีน้ำมันมะกอก 1 ช้อนโต๊ะ ย่างจนปลาหิมะสุกทั้งชิ้น แล้วตักขึ้นพักไว้
นำน้ำเลมอน น้ำผึ้ง พริกไทย เกลือที่เหลือ งาขาว และน้ำมันกอกที่เหลือใส่ลงในชาม คนจนทุกอย่างละลายเข้ากันดี
นำน้ำสลัดเมื่อสักครู่ราดลงไปในชามที่มีผักสลัด มะเขือเทศ มะกอกดำ หอมหัวใหญ่ แตงกวา และอัลมอนด์สไลด์ เคล้าจนน้ำสลัดเข้ากับผักดี ตักใส่จานสำหรับเสิร์ฟ
นำปลาหิมะย่างมาวางบนสลัดที่ตักใส่จานไว้ ตกแต่งด้วยผิวเลมอน และพาสลีย์สับ เพียงเท่านี้เราก็พร้อมรับประทาน"
ยำสลัดอะโวคาโดกุ้ง,"ใส่น้ำสลัดครีมงาญี่ปุ่นลงไปในชามผสม ตามด้วยน้ำปลา น้ำมะนาว น้ำตาลปี๊บ พริกขี้หนูสวนสับละเอียด และผักชีสับละเอียด จากนั้นคนให้ส่วนผสมเข้ากัน เสร็จแล้วพักไว้เตรียมเสิร์ฟ
นำกรีนโอ๊ก เรดโอ๊ก ไอซ์เบิร์ก ผักคอส แตงกวาญี่ปุ่น มะเขือเทศราชินี อะโวคาโดหั่น และกุ้งลวกสุกจัดเสิร์ฟลงในจาน เสิร์ฟพร้อมน้ำสลัดที่เตรียมไว้"
น้ำพริกปลาแซลมอน,"นำหอมแดง กระเทียม พริกชี้ฟ้าแดง และพริกขี้หนู มาย่างในกระทะจนทุกอย่างเริ่มสุกนิ่ม และมีกลิ่นหอม จากนั้นตักใส่จานเตรียมไว้
ใส่น้ำมันเล็กน้อยลงในกระทะรอจนร้อน นำแซลมอนด้านหนังลงไปทอดก่อน แล้วจากนั้นทอดให้สุกทั้งหมด แล้วลอกหนังออก
นำเครื่องน้ำพริกที่ย่างใส่ลงในครกแล้วตำให้แหลก จากนั้นใส่แซลมอนลงไปตำจนเข้ากันดี
ปรุงรสชาติน้ำพริกแซลมอนด้วยน้ำตาลทราย น้ำมะนาว และน้ำปลา คนจนเครื่องปรุงเข้ากัน
ตัก “น้ำพริกปลาแซลมอน” ใส่ถ้วยเสิร์ฟพร้อมกับผักต้ม และผักสดต่าง ๆ "
น้ำเต้าหู้,"นำถั่วเหลืองมาล้างให้สะอาดแล้วหยิบเม็ดถั่วเหลืองเสียออก
ล้างจนหมดกลิ่นเหม็นเขียว จากนั้นแช่ไว้เป็นเวลาอย่างน้อย 3 ชั่วโมงเพื่อให้ถั่วนิ่มแล้วพองตัว
นำถั่วเหลืองที่แช่มาใส่เครื่องปั่น เติมน้ำสะอาด จากนั้นปั่นให้ละเอียด แล้วนำมากรองผ่านผ้าขาวบาง บีบเอาแต่น้ำ
นำน้ำเต้าหู้ขึ้นตั้งไฟต้มจนเดือด คอยคนเรื่อย ๆ ตักใส่แก้วก็สามารถดื่มได้แล้ว"
น้ำเต้าหู้งาดำ,"ล้างทำความสะอาดถั่วเหลืองซีก จากนั้นแช่น้ำไว้ประมาณ 3 ชั่วโมง จนถั่วพองได้ที่
คั่วงาดำในกระทะด้วยไฟเบาให้หอม
ปั่นถั่ว งาดำ และน้ำเปล่าด้วยโถปั่นจนละเอียด แล้วนำมากรอง และคั้นด้วยผ้าขาวบาง แล้วนำขึ้นตั้งไฟอ่อน
เติมน้ำเปล่าส่วนที่เหลือและใบเตย ต้มไปเรื่อยๆ ประมาณ 20 นาที หรือจนกว่าจะหายเหม็นเขียว จากนั้นจัดเสิร์ฟ หากชอบหวานสามารถเติมน้ำตาลได้ตามชอบ"
กล้วยบวชชี,"นำกล้วยน้ำว้าไปนึ่งในน้ำเดือดประมาณ 3-5 นาที หรือจนกระทั่งผิวของกล้วยน้ำว้าเริ่มแตกออก แล้วปิดไฟ นำออกมาปอกเปลือก และหั่นเป็นชิ้นเล็ก ๆ พอดีคำ
นำหางกะทิไปต้มในหม้อ ใส่ใบเตยลงไปเพื่อเพิ่มความหอม เมื่อเดือดแล้วก็ใส่น้ำตาลปี๊บ น้ำตาลทรายขาว และเกลือ คนให้ละลายดีแล้วใส่กล้วยที่หั่นไว้แล้วลงไป
เมื่อกะทิเริ่มเดือดอีกครั้งใส่หัวกะทิลงไป และปล่อยทิ้งไว้ให้เดือดอีกประมาณ 3 นาที
ถ้าต้องการให้น้ำข้นเหนียวก็ให้ใส่แป้งมันลงไปประมาณ 1 ช้อนชา และคนให้ละลายทั่วกันดีค่ะ
อย่าต้ม “กล้วยบวชชี” นานจนเกินไปเพราะจะทำให้กล้วยเละได้ กล้วยใน “กล้วยบวชชี” ควรจะยังแข็งนิดหน่อย จากนั้นตักใส่จาน และเสิร์ฟได้เลยค่า"
โยเกิร์ตโฮมเมด,"ตั้งนมด้วยไฟอ่อนเป็นเวลา 5 นาที จากนั้นใส่โยเกิร์ตลงไปแล้วคนให้เข้ากัน ตักหัวเชื้อโยเกิร์ตที่ทำเสร็จแล้วใส่ภาชนะตามชอบ
จากนั้นเก็บไว้ในภาชนะที่ปิดมิดชิด โดยห้ามขยับเป็นเวลา 12 ชั่วโมง อ่านต่อได้ที่ เมื่อครบเวลา 12 ชั่วโมง หัวเชื้อโยเกิร์ตที่ทำไว้จะเซตตัวเป็นก้อน ให้นำแช่เย็นก่อนจัดเสิร์ฟพร้อมท็อปปิงตามชอบ"
กล้วยน้ำว้าอบ หวานจากธรรมชาติ,"กล้วยน้ำว้าสุกค่ะ

แต่อันนี้แล้วแต่คนชอบนะคะ หากใครชอบไม่หวานมากก็เลือกกล้วยที่ไม่สุกมากไป แบบห่ามๆค่ะ

2
นำกล้วยมาปอกเปลือกและฝานครึ่ง

3
และนำไปอบที่อุณหภูมิ 180 องศา
ไฟบนล่าง เวลา 50 นาทีค่ะ
** หากใครชอบแห้งๆก็อบต่อได้เลยนะคะ"
คุ๊กกี้ธัญพืชไร้แป้ง,"1
มาเตรียมส่วนประกอบกันก่อนเลยคะ

2
นำมะม่วงหิมพาน+แอลมอนด์+วอลนัท+เมล็ดฟักทอง+ข้าวโอ๊ตอบแห้ง+แครนเบอรี่อบแห้ง+งาดำ+งาขาว ผสมรวมกันทั้งหมดเลยคะ แล้วคลุกเคล้าให้เข้ากันนะคะ

3
ใส่เกลือเล็กน้อยคะ แล้วคลุกเคล้ากันอีกรอบคะ

4
ใส่น้ำผึ้งคะ แล้วก็คลุกเคล้ากัน

5
ตามด้วยไข่ขาวคะ ค่อยๆเททีละน้อยนะคะ เทไปคลุกไปคะ

6
เพิ่มความหอมด้วย Butter Extract นะคะ อันนี้ใส่ก็ได้ไม่ใส่ก็ได้คะ แค่อยากได้ความหอมของButter คะ

7
พอคลุกเคล้ากันเสร็จเรียบร้อยแล้ว เรามาใส่พิมพ์กันคะ จอยใช้พิมพ์ที่ทอดไข่ดาว ขนาดประมาณเส้นผ่าศูนย์กลาง 10 ซ.ม. ได้คะ แล้วน้ำแก้วน้ำขนาดเล็กมาห่อถุงพลาสติกเพื่อเป็นตัวกดพิมพ์ในแน่นคะ

8
ชั่งตัวคุ๊กกี้ธัญพืชน้ำหนักประมาณ 40 กรัม แล้วนำลงไปในพิมพ์ ใช้แก้วเล็กที่เตรียมไว้อัดลงไปในพิมพ์ พยายามกระจายตัวคุ๊กกี้ให้เท่าๆกันนะคะ

9
ทำชิ้นต่อไป ให้ห่างกันประมาณ 1 เซนติเมตร ทำให้เต็มถาดเบยคะ

10
เต็มถาดก็จะได้ประมาณ 13 ชิ้นได้คะ ชิ้นละ 40 กรัมนะคะ

11
อุ่นเตาอบให้ร้อนคะ ใช้อุณหภูมิอบ ประมาณ 135 องศา เปิดไฟ บน- ล่าง เปิดพัดลมด้วยนะคะคุ๊กกี้จะได้กรอบๆ อบประมาณ 13-15 นาที (แล้วแต่เตาอบคะ ดูจากสีของคุ๊กกี้เอาก็ได้นะคะ)

12
เสร็จแล้วนำออกมาจากเตาอบ อย่าเพิ่งเเกะ หรือนำขนมออกมาจากถาดนะคะ ต้องรอให้คุ๊กกี้เย็นสนิท ถึงจะแกะออกมารับประทานได้คะ"
มะม่วงไม่รู้หาว มะนาวไม่รู้โห่,"1
ล้างทำความสะอาดโดยการเปิดน้ำไหลผ่าน ประมาณ 5 นาที
( ซื้อมาจากญาติ ธรรมชาติ ปลอดสารพิษ แต่ล้างสิ่งสกปรก ฝุ่นควันออกเพื่อสุขภาพที่ดี )
เคล็ดลับ: ใช้ผลสุก น้ำจะสีแดงสด เข้ม อุดมไปด้วยสารแอนโทไซยานิน สารสีม่วงแดงซึ่งเป็นสารต้านอนุมูลอิสระ มีสูงกว่าวิตามินซีหลายพันเท่า และจัดว่าเป็นผลไม้เบอร์รีชนิดหนึ่ง

2
ตอนแรกเราก็ผ่าครึ่งแกะเมล็ดออก แต่ลูกมันเล็ก และมีเมล็ดด้วยทำให้เสียเวลา จึงบีบลูกให้แตกเพื่อลดขั้นตอน และทำให้สารอาหารที่อยู่ในลูกออกมาด้วยเวลาต้ม

3
ต้มน้ำให้พอเดือด ใส่ใบเตยลงไปต้มก่อนสักครู่ ตามด้วยมะม่วงหาวมะนาวโห่ที่เตรียมไว้ ใส่ลงไป ตามด้วยเกลือผง และน้ำตาลทรายแดง

4
หลังจากต้มไปสักพัก รอให้น้ำเดือดปิดแก๊ส ยกลงจากเตา รอให้น้ำอุ่น นำไปกรองแยกกากออก

5
ใส่แก้วพร้อมน้ำแข็ง หรือจะนำไปแช่ฟรีช จะได้น้ำมะม่วงหาวมะนาวโห่รสเข้มข้น ดื่มเป็นเกล็ดน้ำแข็ง สดชื่น เปรี้ยวอมหวาน"
ก๋วยเตี๋ยวคั่วไก่ สูตรคลีน,นำอกไก่ไปหมักด้วยน้ำตาลทรายไม่ขัดสี พริกไทยป่น ซีอิ๊ว Low Sodium 1 ช้อนชา แล้วพักไว้เป็นเวลา 20 นาที ตั้งกระทะโดยใช้ไฟอ่อน จากนั้นใส่ไก่ที่หมักไว้ลงไปผัดให้สุก แล้วตอกไข่ลงไปผัดให้สุกเช่นกัน ใส่เส้นแครอท ปรุงรสด้วย ซีอิ๊วขาว Low Sodium 1 ช้อนชา และซอสหอยนางรม Low Sodium ผัดให้ทุกอย่างเข้ากัน เมื่อเส้นแครอทสุกแล้ว ตักใส่จานที่รองด้วยผักกาด แล้วโรยด้วยต้นหอม พริกไทยป่น เสิร์ฟพร้อมซอสพริกค่ะ
