ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories
Black Orange coffee กาแฟส้ม,"{'กาแฟเข้มข้น': '1-2 ออนซ์', 'ไซรัปรสส้ม': '1 ออนซ์', 'น้ำเชื่อม': '1/2 ออนซ์', 'น้ำเปล่า': '2 ออนซ์', 'น้ำแข็ง': '1 แก้ว'}",9.48,181.71,42.42,1842.99
กระดูกหมูนึ่งเต้าเจี้ยว,"{'กระดูกหมู': '300 กรัม', 'เต้าเจี้ยว (ลีกุมกี่)': '1 1/2 ช้อนโต๊ะ', 'แป้งข้าวโพด': '1 ช้อนชา', 'ซีอิ้วขาว': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': 'นิดหน่อย', 'เกลือ': 'นิดหน่อย', 'น้ำมันพืช': '1 ช้อนโต๊ะ'}",26.09,124.37,113.13,1676.21
กระเพาะปลา,"{'โครงไก่': '1 โครง', 'น้ำเปล่า': '6 ถ้วย', 'น้ำตาลกรวด': '2 ช้อนชา', 'เกลือสมุทร': '1 ช้อนชา', 'เก๋ากี้': '1 ช้อนโต๊ะ', 'กระเทียมสด': '5 กลีบ', 'รากผักชี': '3 ราก', 'พริกไทย': '30 เม็ด', 'กระเพาะปลาแห้ง': '70 กรัม', 'หน่อไม้สด': '50 กรัม', 'เห็ดหอม': '6 ดอก', 'เลือดไก่': '50 กรัม', 'ไก่ฉีก': '30 กรัม', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'จิ๊กโฉ่ว': '2 ช้อนชา', 'แป้งมันฮ่องกง': '1 ช้อนโต๊ะ'}",81.39,245.28,132.95,3064.88
กล้วยน้ำว้าอบ หวานจากธรรมชาติ,{'กล้วย': '1 หวี'},0.8,1,0,12.2
กล้วยน้ำว้าอบงาขาว,{'กล้วยน้ำว้า': 1},0.8,0.2,0,5
กล้วยบวชชี,"{'กล้วยน้ำว้า': '8 ลูก', 'หัวกะทิ': '225 มิลลิลิตร', 'หางกะทิ': '300 มิลลิลิตร', 'ใบเตย': '2 ใบ', 'น้ำตาลปี๊บ': '30 กรัม', 'น้ำตาลทรายขาว': '20 กรัม', 'เกลือ': '¼ ช้อนชา', 'แป้งมัน': '1 ช้อนชา'}",14.46,14.89,277.25,1300.85
กล้วยอบเนยไมโครเวฟ,"{'กล้วยน้ำว้า': '4 ผล', 'น้ำเชื่อม': '50 มิลลิลิตร', 'เนยจืด': '75 กรัม', 'งาขาว': '20 กรัม'}",22.03,134.36,0,1297.36
ก๋วยเตี๋ยวคั่วไก่ แบบง่าย แต่อร่อย,"{'เส้นใหญ่': '300 กรัม', 'ไข่ไก่': '2 ฟอง', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'น้ำตาล': '2 ช้อนชา', 'เกลือ': '1/2 ช้อนชา', 'ต้นหอม': 'ผักชีซอย1 ช้อนโต๊ะ', 'น้ำมันพืชหรือน้ำมันหมู': 'เล็กน้อย', 'อกไก่หั่นชิ้น': '200 กรัม', 'น้ำตาลทราย': '1 ช้อนชา', 'แป้งมัน': '1 ช้อนโต๊ะ', 'พริกไทย': '1/2 ช้อนชา'}",78.04,75.1,120.08,1468.38
ก๋วยเตี๋ยวคั่วไก่ สูตรคลีน,"{'เนื้อไก่': '100 กรัม', 'น้ำตาลทรายไม่ขัดสี': '½ ช้อนชา', 'พริกไทยป่น': '1 ช้อนชา', 'ซีอิ๊ว Low Sodium': '1 ช้อนชา', 'เส้นแครอท': '1 ถ้วยตวง', 'ไข่ไก่': '1 ฟอง', 'ซีอิ๊วขาว Low Sodium': '1 ช้อนชา', 'ซอสหอยนางรม Low Sodium': '1 ช้อนชา', 'น้ำมันพืช': '1 ช้อนชา', 'ต้นหอมซอย': '1 ต้น'}",36.11,134.92,108.78,1793.84
ก๋วยเตี๋ยวเนื้อสับ,"{'เนื้อบด': '', 'หัวหอมใหญ่': '', 'มะเขือเทศ': '', 'ผงกะหรี่': '', 'น้ำซุป': '', 'ซีอิ๊วขาว': '', 'น้ำมันหอย': '', 'น้ำตาล': '', 'เส้นใหญ่': '', 'กระเทียม': ''}",34.75,123.97,10.4,1296.33
ก๋วยเตี๋ยวลุยสวน,"{'เนื้อไก่สับ หรือหมูสับ': '300 กรัม', 'แครอทหั่นลูกเต๋า': '4-5 ชิ้น', 'เห็ดหอมหั่นลูกเต๋า': '2 ดอก', 'ใบเมี่ยงญวณ': '4 ใบ', 'ซอสหอยนางรม': '2 ช้อนชา', 'ซีอิ๊วขาว เห็ดหอม': '2 ช้อนชา'}",13.94,7.34,7.89,153.38
ก๋วยเตี๋ยวหลอดทรงเครื่อง,"{'ก๋วยเตี๋ยวเส้นใหญ่': 'ตามชอบ', 'หมูสามชั้นหั่น': '200 กรัม', 'เต้าหู้ขาว': '1 ก้อน', 'เห็ดหอม': '1 ถ้วย', 'กุ้งแห้ง': '2 ช้อนโต๊ะ', 'รากผักชี': '3 ราก', 'ผงพะโล้': '1 ช้อนชา', 'พริกไทยป่น': '1 ช้อนชา', 'ซีอิ๊วดำหวาน': '1 ช้อนโต๊ะ', 'เกลือป่น': '1 ช้อนชา', 'น้ำตาลปี๊บ': '¼ ถ้วย', 'น้ำเปล่า': '1 ลิตร', 'กระเทียมเจียว': 'ตามชอบ', 'ต้นหอม': 'ตามชอบ', 'ถั่วงอก': 'ตามชอบ', 'พริกแดงสับ': '1 ช้อนโต๊ะ', 'น้ำส้มสายชู': '3 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '3 ช้อนโต๊ะ', 'น้ำเชื่อม': '3 ช้อนโต๊ะ'}",113.78,189.13,126.82,2664.57
กะเพราไก่เด็กน้อย👨‍🍳,"{'ไก่บด': '2 ขีด', 'กะเพรา': '1 กำมือ', 'กระเทียมตำ': '4 กลีบ', 'พริกขี้หนู': '4 ดอก', 'น้ำมันหอย': '2 ช้อนโต๊ะ', 'แมกกี้': 'สำหรับเหยาะ', 'น้ำปลา': '1 ช้อน', 'น้ำตาล': '1 ช้อน', 'น้ำมัน': 'นิดหน่อย', 'ซีอิ๊วดำ': 'นิดหน่อย'}",62.37,324.21,10.4,3208.97
กะเพราเต้าหู้ ,"{'เต้าหู้ขาว': 'ครึ่งก้อน', 'พริกขี้หนู': '6 เม็ด', 'น้ำมันถั่วเหลือง': '1 ช้อนโต๊ะ', 'อร่อยชัวร์': 'ตามชอบ', 'น้ำตาลทราย': 'ตามชอบ', 'ซีอิ๊วดำ': 'เล็กน้อย', 'น้ำเปล่า': '1 ทัพพี', 'กะเพรา': '2 ต้น'}",36.79,219.23,104.7,2539.03
กะหรี่ปั๊บแป้งกรอบ,"{'แป้งสาลีอเนกประสงค์': '270 กรัม', 'น้ำปูนใส': '7 ช้อนโต๊ะ', 'น้ำเย็น': '6 ช้อนโต๊ะ', 'น้ำมันพืช (ปามล์)': '6 ช้อนโต๊ะ', 'น้ำตาลทราย': '.1 ช้อนโต๊ะ', 'เกลือ': '1 ช้อนชา', 'แป้งอเนกประสงค์': '130 กรัม', 'น้ำมันพืช': '5 ช้อนโต๊ะ', 'ถั่วเหลืองนึ่ง+น้ำตาล': '120 กรัม', 'มันม่วงนึ่ง(ไม่ต้องกวนใช้ได้เลย)': '150 กรัม', 'ฟักทองนึ่ง+น้ำตาล': '40 กรัม', 'ไก่สับ/หมูสับ': '100 กรัม', 'มันม่วง/หวาน หรือ มันฝรั่งต้ม': '150 กรัม', 'หอมหัวใหญ่': '2 ช้อนโต๊ะ', 'หอมแดง': '1 ช้อนชา', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'ซอสหอย': '1 ช้อนโต๊ะ', 'ผงกระหรี่': '2 ช้อนโต๊ะ'}",57.77,391.66,180.27,4477.1
กาแฟชาเขียวเย็น,"{'ชาเขียว': '1 ช้อนโต๊ะ', 'น้ำตาล': '3 ช้อนโต๊ะ', 'น้ำร้อน': '2 ช้อนโต๊ะ', 'นมสด': '1 ขวด', 'กาแฟเย็น': '1 กระป๋อง', 'น้ำแข็ง': '1 แก้ว'}",60.41,109.53,0,1227.41
กาแฟดำน้ำผึ้งมะนาว (Honey Lime Black Coffee),"{'กาแฟดำ': '150ml.', 'น้ำผึ้ง': '50ml.', 'น้ำมะนาว': '2-3 ลูก', 'น้ำแข็ง': '1 แก้ว', 'น้ำร้อน': '50ml.'}",72.88,258.83,0,2620.99
กุ้งกระเบื้องสาหร่าย,"{'แผ่นเปาะเปี๊ยะ': '10 แผ่น', 'สาหร่ายรสดั้งเดิม': '1 ห่อ', 'เนื้อกุ้ง': '400 กรัม', 'รากผักชี': '2 ราก', 'กระเทียม': '20 กรัม', 'พริกไทย': '1 ช้อนชา', 'แป้งมัน': '2 ช้อนโต๊ะ', 'ไข่ขาว': '1 ฟอง', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนโต๊ะ', 'ต้นหอม': '2 ช้อนโต๊ะ'}",27.07,36.26,186.97,1182.5
กุ้งทอดกระเทียม (สูตรมันกุ้ง),"{'กุ้ง': '', 'กระเทียม': '', 'น้ำมันพืช': '', 'แป้งทอดกรอบ': '', 'ซอสถั่วเหลือง': '', 'น้ำมันหอย': '', 'น้ำปลา': '', 'พริกไทย': '', 'เกลือ': ''}",38.86,312.26,35.01,3105.82
กุ้งผัดผงกะหรี่,"{'กุ้งสด': '12-15 ตัว', 'ผงกะหรี่': '', 'น้ำพริกเผา': '', 'ไข่ไก่': '', 'นดสด': '', 'ซีอิ้วขาว': '', 'น้ำปลา': '', 'น้ำตาล': '', 'น้ำมันหอยนางรม': '', 'พริกไทยป่น': '', 'กระเทียม': '', 'หัวหอม': '', 'คึ่นช่าย': '', 'ต้นหอม': '', 'พริกชี้ฟ้าแดง': ''}",87.5,179.53,83.63,2300.29
กุ้งผัดพริกเกลือ,"{'กุ้งขาว': '300 กรัม', 'พริกขี้หนู': '6 เม็ด', 'กระเทียม': '1 ช้อนโต๊ะ', 'รากผักชี': '1 ช้อนโต๊ะ', 'พริกไทย': '1/4 ช้อนชา', 'ต้นหอม': '1/4 ช้อนชา', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนชา', 'เกลือป่น': '1/4 ช้อนชา', 'น้ำตาลทราย': '1 ช้อนชา', 'น้ำมันพืช': '2 ช้อนโต๊ะ'}",30.58,215.78,119.18,2541.06
กุ้งฝอยทอด,"{'กุ้งฝอย': '300 กรัม', 'แป้งข้าวเจ้า': '60 กรัม', 'แป้งสาลีอเนกประสงค์': '60 กรัม', 'เกลือ': '1/4 ช้อนชา', 'ไข่แดง': '1 ฟอง', 'น้ำพริกแกงเผ็ด': '2 ช้อนชา', 'น้ำตาลทราย': '1/2 ช้อนชา', 'น้ำปูนใส': '140 มิลลิลิตร', 'ใบมะกรูด (ซอย)': '8 ใบ', 'น้ำมันรำข้าวสำหรับทอด': '', 'น้ำตาลทราย (สำหรับอาจาด)': '110 กรัม', 'น้ำส้มสายชูข้าว (สำหรับอาจาด)': '125 มิลลิลิตร', 'เกลือ (สำหรับอาจาด)': '1/2 ช้อนชา', 'พริกชี้ฟ้าแดง (สำหรับอาจาด)': '2 เม็ด', 'หอมแดง': '3 หัว', 'ขิง (ซอย)': '2 ช้อนโต๊ะ', 'ผักชีสำหรับตกแต่ง': ''}",81.65,200.25,290.86,3292.29
กุ้งอบวุ้นเส้น,"{'กุ้งก้ามกราม': '6 ตัว', 'วุ้นเส้น': '80 กรัม', 'น้ำตาลทราย': '2 ช้อนโต๊ะ', 'ซีอิ๊วดำ': '2 ช้อนชา', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'น้ำซุป': '1 ถ้วย', 'เบคอน': '', 'ขิงแก่': '', 'กระเทียม': '', 'พริกไทยขาว': '', 'พริกไทยดำ': '', 'คื่นช่าย': '', 'ต้นหอม': '(ใส่ตามชอบ)'}",59.31,20.59,277.6,1532.95
เกี๊ยวกุ้งทอดยักษ์,"{'รากผักชี': '2 ราก', 'กระเทียม': '1 กลีบ', 'เม็ดพริกไทยขาว': '½ ช้อนชา', 'เกลือ': '¼ ช้อนชา', 'ซีอิ๊วขาว': '2 ช้อนชา', 'น้ำมันงา': '½ ช้อนชา', 'เนื้อกุ้ง': '300 กรัม', 'แป้งข้าวโพด': '2 ช้อนชา', 'ปลาหมึก': '150 กรัม', 'แป้งเปาะเปี๊ยะสำหรับห่อ': '', 'น้ำจิ้มบ๊วยเจีย': '¼ ถ้วย', 'ซอสมะเขือเทศ': '2 ช้อนโต๊ะ', 'แป้งสาลีอเนกประสงค์สำหรับเป็นแป้งเปียก': '', 'น้ำมันรำข้าวสำหรับทอด': ''}",45.95,213.77,91.8,2474.93
เกี๊ยวน้ำสูตร มัดใจสามี,"{'แผ่นเกี๊ยว': '1 ห่อ', 'หมูบด': '300 กรัม', 'รากผักชี': '3 ต้น', 'กระเทียม': '5 กลีบ', 'พริกไทยเม็ด': '1 ช้อนชา', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'ซอสปรุงรสฝาเขียว': '1 ช้อนโต๊ะ', 'น้ำมันงา': '1 ช้อนชา', 'น้ำเปล่าสำหรับต้มเกี๊ยว': '2 ถ้วยตวง', 'น้ำมันงาสำหรับคลุกเกี๊ยว': '1 ช้อนชา', 'น้ำเปล่า': '1 ถ้วยตวง', 'รสดีซุปก้อน': '1 ก้อน', 'รากผักชี (น้ำซุป)': '2 ราก', 'กระเทียมบุบ': '2 กลีบ', 'พริกไทยเม็ดบุบ': '1 ช้อนโต๊ะ', 'ซอสปรุงรสฝาเขียว (สำหรับน้ำซุป)': '2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนโต๊ะ', 'พริกไทยป่น': '', 'คื่นฉ่ายซอย': ''}",75.13,359.07,304.98,4752.07
แกงกะทิสายบัวปลาทูนึ่ง,"{'สายบัว': '300 กรัม', 'ปลาทูนึ่ง': '4 ตัว', 'น้ำตาลทรายหรือน้ำตาลมะพร้าว': '½ ช้อนโต๊ะ', 'หัวกระทิ': '1 ถ้วย', 'หางกะทิ': '1 ½ ถ้วย', 'หอมแดง': '5-6 หัว', 'พริกไทยเม็ด': '1 ช้อนโต๊ะ', 'กะปิ': '½ ช้อนโต๊ะ', 'เกลือ': '½ ช้อนโต๊ะ', 'น้ำมะขามเปียกคั้นข้นๆ': '2-3 ช้อนโต๊ะ'}",29.4,225.49,73.5,2441.01
แกงกะหรี่ญี่ปุ่น,"{'มันฝรั่ง': '4 ลูก', 'แครอท': '1 ลูก', 'หอมหัวใหญ่': '2 หัว', 'ก้อนแกงกะหรี่ สูตรญี่ปุ่น': '4 ก้อนเล็ก', 'น้ำตาลทราย': '3 ช้อนโต๊ะ', 'โชยุ': '2 ช้อนโต๊ะ', 'ซุปก้อน': '1 ก้อน', 'กระเทียมจีนขูด': '1 กลีบ', 'เนยจืด': '1 ช้อนชา', 'เกลือ': '1/4 ช้อนชา', 'พริกไทย': 'นิดหน่อย', 'นมจืด': '125 มล.', 'เนื้อหมูสไลด์': '3 ขีด'}",59.86,126.85,207.08,2209.41
แกงไก่ยอดมะพร้าวอ่อน,"{'เครื่องในและส่วนต่างๆของไก่': '', 'กะทิ': '', 'พริกแกง': '', 'น้ำตาลปี๊บ': '', 'คนอร์': '', 'พริกชี้ฟ้า': '', 'ใบโหระพา': '', 'น้ำเปล่า': '', 'ยอดมะพร้าวอ่อน': '', 'ซอสฝาเขียว': ''}",34.26,128.13,186.88,2037.73
แกงไก่เส้นร้อน(วุ้นเส้น) ,"{'ไก่': '1/2 ตัว', 'วุ้นเส้น': '100 กรัม', 'หัวหอม': '3 ช้อนโต๊ะ', 'ตะไคร้': '2 ช้อนโต๊ะ', 'พริกขี้หนูแห้ง': '6-8 เม็ด', 'พริกขี้หนูสีแดง': '4 เม็ด', 'เกลือ': '1 ช้อนโต๊ะ', 'น้ำปลา': '3 ช้อนโต๊ะ', 'ใบมะกรูด': '10 ใบ', 'ใบแมงลัก': 'ตามชอบ', 'ต้นหอม': '3 ต้น', 'น้ำเปล่า': '4 ถ้วย'}",66,242.45,83.49,2780.01
แกงขี้เหล็กปลาย่าง,"{'หางกะทิ': '2 ลิตร', 'หัวกะทิ': '500 มล.', 'เนื้อปลาย่าง': '300 กรัม', 'กะปิ': '1 ช้อนโต๊ะ', 'ตะไคร้': '2 ต้น', 'หัวหอมแดง': '4 หัว', 'กระเทียม': '1 หัว', 'พริกไทย': '1/2 ช้อนชา', 'ขมิ้น': '1 หัว', 'เกลือเม็ด': '1 ช้อนชา', 'ผงปรุงรสหมู': '1 ช้อนโต๊ะ', 'ใบขี้เหล็กอ่อน': '500 กรัม', 'พริกสด': '5 เม็ด'}",62.19,57.4,115.01,1225.4
แกงเขียวหวานเนื้อพริกขี้หนู,"{'เนื้อวัว': 'ล้ำ', 'พริกแกงเขียวหวาน': '100 กรัม', 'กะทิ': '1/2 กก.', 'น้ำปลา': '4 ช้อนโต๊ะ', 'น้ำตาลตะโหนด': '1 ช้อนโต๊ะ', 'มะเขือเปราะ': '6 ลูก', 'มะเขือพวง': '', 'ใบโหระพา': '', 'พริกขี้หนู': '', 'ใบมะกรูดฉีก': ''}",57.73,126.72,124.58,1869.72
แกงเขียวหวานลูกชิ้นปลากราย,"{'ลูกชิ้นปลากรายเม็ดจิ๋ว': '1/2 กก.', 'พริกแกงเขียวหวาน': '1 ขีด', 'กะทิ': '2 กล่อง', 'มะเขือเปาะ': '10-15 ลูก', 'กระชายฝอย': '1/2 ขีด', 'โหรภา': '1 กำ', 'พริกชี้ฟ้าแดง': '3 เม็ด', 'ใบมะกรูดฉีก': '5-6 ใบ', 'น้ำตาลปึก': '3 ก้อน', 'น้ำปลา': '1 ถ้วย', 'น้ำตาลทราย': '3-5 ชช'}",49.27,128.85,270.98,2440.65
แกงคั่วเห็ดเผาะใส่หน่อไม้ดอง,"{'เห็ดเผาะสด': '1 ลิตรเล็ก (ประมาณ 300 กรัม)', 'หน่อไม้ดอง': '100 กรัม', 'ชะอมและชะพลู': 'ตามชอบ', 'หัวกะทิ': '500 มิลลิกรัม', 'พริกแกงเผ็ด': 'แล้วแต่ชอบ', 'เครื่องปรุงรส (น้ำปลา, น้ำตาล)': 'ตามชอบ'}",24.32,15.39,6.45,261.59
แกงจืดไข่น้ำหมูสับ,"{'หมูสับ': '150 กรัม', 'พริกไทยป่น': '¼ ช้อนชา', 'ซอสเห็ดหอม': '1 ช้อนชา', 'ซีอิ๊วขาว': '2 ช้อนชา', 'น้ำปลา': '2 ช้อนชา', 'ไข่ไก่': '3 ฟอง', 'น้ำมันพืชสำหรับทอด': '', 'รากผักชีทุบ': '1 ราก', 'ผักกาดขาวหั่นชิ้น': '50 กรัม', 'กระเทียมทุบ': '3 กลีบ', 'พริกไทยเม็ด': '½ ช้อนชา', 'เกลือป่นหยาบ': '⅛ ช้อนชา', 'น้ำเปล่า': '3 ถ้วยตวง', 'ต้นหอมหั่นท่อน': '2 ช้อนโต๊ะ', 'ผักชีหั่นท่อน': '2 ช้อนโต๊ะ', 'กระเทียมเจียวสำหรับโรยหน้า': ''}",99.31,281.76,123.55,1427.28
แกงจืดไข่ม้วนไส้ผักกาดขาวหมูสับ,"{'ไข่ไก่': 4, 'หมูสับ': 200, 'ต้นหอมซอย': 1, 'ต้นหอมเด็ดให้เป็นเส้น': 6, 'แครอท': 1, 'ผักกาดขาว': 5, 'ผักกาดหอม': 4, 'ผักชีตกแต่ง': 1, 'ซุปก้อนรสหมู': 1, 'ซีอิ๊วขาว': 3, 'น้ำเปล่า': 1}",60.93,155.9,0,1646.82
แกงจืดผักกาดขาวเต้าหู้หมูสับ,"{'หมูสับปรุงรสสำเร็จ': '4 ขีด', 'เต้าหู้ไข่': '2 หลอด', 'ผักกาดขาว': '2 หัว (ครึ่งกิโล)', 'คนอร์ซุปรสหมูก้อน': '2 ก้อน'}",34.24,15.48,32.01,404.32
แกงจืดหัวไชโป๊วหวาน,"{'หัวไชโป๊วหวานแบบหัว': '200 กรัม', 'กระดูกหมู': '200 กรัม', 'น้ำเปล่าหรือน้ำซุป': '1.5 ลิตร', 'กระเทียม': '7 กลีบ', 'รากผักชีบุบ': '2 ราก', 'พริกไทยเม็ด': '10 เม็ด', 'พริกไทยป่น': '1/2 ช้อนชา', 'เกลือป่น': '1/2 ช้อนโต๊ะ', 'คนอร์ซุปหมูก้อน': '1 ก้อน'}",52.99,36.21,85.91,881.49
แกงซี่โครงหมูใส่วุ้นเส้น,"{'ซี่โครงหมู': '320 กรัม', 'วุ้นเส้น': '40 กรัม', 'ใบมะกรูดฉีก': '3-4 ใบ', 'หอมแดงทุบ': '3 หัว', 'ตะไคร้หั่นท่อน': '1 ต้น', 'น้ำปลา': '3ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '1/2 ช้อนโต๊ะ', 'ใบแมงลัก': '1 ถ้วย', 'ต้นหอมหั่นท่อน': '2 ต้น', 'น้ำเปล่า': '3ถ้วย', 'น้ำมันพืช': 'เล็กน้อย', 'เกลือป่น': 'เล็กน้อย'}",33.79,319.46,166.07,3674.58
แกงบอน ใส่กะทิ,"{'กระชายซอยละเอียด': '1/2ถ้วยเล็ก', 'ตะใคร์ (หั่นซอยละเอียด)': '2ต้น', 'หอมแดงซอย': '10หัว', 'ผิวมะกรูดหั่นฝอย': '1ช้อนชา', 'กระเทียมแกะเปลือก': '4หัว', 'พริกขี้หนูแห้ง (เอาเม็ดออกแช่น้ำให้พริกนิ่ม)': '10เม็ด', 'กะปิ': '1ช้อนชา', 'ข่า (หั่นเป็นแว่น)': '4แว่น', 'เกลือ': '1ช้อนชา', 'หมูสามชั้น': '1/2กก.', 'ก้านบอน (เอาที่อ่อนๆ หั่นเป็นท่อน)': '15ก้าน', 'น้ำปลาร้าต้มสุก': '2ช้อนโต๊ะ', 'กะทิ': '1/2กก.', 'ใบมะกรูดฉีก': '5ใบ', 'มะกรูดผ่าครึ่งเอาเม็ดออก': '1ลูก', 'น้ำมะกรูด': '1ข้อนโต๊ะ', 'น้ำปลา': '3ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '3ช้อนโต๊ะ', 'น้ำเปล่า': '2ถ้วย'}",76.68,282.83,197.3,3641.39
แกงปลาดุกใส่ใบยอ,"{'ปลาดุก': '400 กรัม', 'พริกแกงเผ็ด': '100 กรัม', 'ใบยอ': '20 ใบ', 'กะทิ': '250 มล.', 'น้ำปลา': '', 'น้ำตาล': '', 'เกลือ': '', 'น้ำเปล่า': ''}",31.55,224.71,20.9,2232.19
แกงป่าไก่,"{'น้ำพริกแกงป่า': '1 ขีด', 'สะโพกและน่องไก่สับเป็นชิ้นพอดีคำ': '100 กรัม', 'ยอดมะพร้าวหั่น': '1/4 ถ้วย', 'หน่อไม้ต้มหั่น': '1/4 ถ้วย', 'มะเขือเปราะผ่าสี่': '3-4 ลูก', 'กระชายซอย': '1/4 ถ้วย', 'พริกไทยอ่อนหั่นสั้นๆ': '3-4 ฝัก', 'พริกชี้ฟ้าหั่นแฉลบ': '2 เม็ด', 'น้ำปลา': '1-2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1/2 ช้อนชา'}",41,174.9,195.29,2519.26
แกงป่าหมู,"{'เนื้อหมู': '200 กรัม', 'พริกแกงเผ็ด': '2 ช้อนโต๊ะ', 'มะเขือเปราะหั่นและผ่าแล้ว': '1/2 ถ้วย', 'มะเขือพวง': '1/3 ถ้วย', 'ฟักทอง': '1/2 ถ้วย', 'ข้าวโพดอ่อน': '1/2 ถ้วย', 'พริกไทยอ่อน': '4 ช่อ', 'กระชายซอยเป็นเส้น': '1/2 ถ้วย', 'ใบกะเพราเด็ด': '1/2 ถ้วย', 'ใบมะกรูดฉีก': '5 ใบ', 'พริกชี้ฟ้าแดงหั่นเฉียง': '2 เม็ด', 'น้ำเปล่าหรือน้ำซุป': '2+1/2 ถ้วย', 'คนอร์ขวดซอสข้นปรุงรส รสหมู': '1 ช้อนโต๊ะ', 'น้ำมันสำหรับผัดพริกแกง': '2 ช้อนโต๊ะ'}",80.89,74.88,102.34,1406.84
แกงผักกาดใส่ไก่,"{'น่องไก่': '1/2 กก', 'พริกแห้ง': '11 เม็ด', 'หอมขาว': '10 กลีบ', 'หอมแดง': '3 หัว', 'เกลือ': '1/4 ช้อนโต๊ะ', 'กะปิ': '3/4 ช้อนโต๊ะ', 'ปลาร้า': '1 ช้อนโต๊ะ', 'มะแคว่น': '1 หยิบมือ', 'ผักกาดกวางตุ้ง': '1 กก', 'น้ำมันพืช': '2 ช้อนโต๊ะ', 'ผักชีลาว': '100 กรัม', 'ตะไคร้': '1 หัว'}",45.54,144.35,161.34,2126.67
แกงเผ็ดเนื้อตุ๋นมะเขืออ่อน,"{'เนื้อน่อง': '2-3ขีด', 'มะเขือเปาะ': '6ผล', 'กระชายฝอย': '5บาท', 'พริกไทอ่อน': '2-3ฝัก', 'พริกชี้ฟ้า': '2เม็ด', 'โหระพา': '1กำ', 'พริกแกงเผ็ด': '10บาท', 'ใบมะกรูดฉีก': '3-4ใบ', 'กะทิ': '1กล่อง', 'น้ำมัน': '2ชต'}",53.95,124.95,94.94,1720.11
แกงเผ็ดมะเขือยาวหมูสับ,"{'เนื้อหมูสับ': '75 กรัม', 'มะเขือยาวขั้วเล็ก': '1 ลูก', 'พริกแกงเผ็ด': '1 ช้อนโต๊ะ', 'หัวกะทิ': '150 กรัม', 'ซีอิ๊วขาว': '1 ช้อนชา', 'เกลือ': '1/8 ช้อนชา', 'น้ำตาลปี๊ป': '1 ก้อนปลายนิ้ว', 'พริกชี้ฟ้า': '2 ฝัก', 'ใบมะกรูด': '4 ใบ', 'ใบโหระพา': '1 กิ่ง'}",60.98,26.47,186.81,1229.39
แกงมัสมั่นเนื้อ,"{'เนื้อวัว(น่องลาย)': '300 g', 'พริกแกงมัสมั่น': '100 g', 'กะทิเรียลไทย': '500 ml', 'อบเชย': '3 แท่ง', 'ดอกจันทร์': '3 ดอก', 'ลูกกระวาน': '6 ลูก', 'ถั่วลิสงคั่ว': '50 g', 'น้ำตาลมะพร้าว': '3 ช้อนโต๊ะ', 'น้ำมะขามเปียก': '2 ช้อนโต๊ะ', 'น้ำปลาดี': '2 ช้อนโต๊ะ', 'เกลือ': 'หยิบมือ', 'น้ำส้มซ่า': '1 ช้อนโต๊ะ', 'มันฝรั่ง': '2 หัว', 'หอมหัวใหญ่': '1 หัว', 'ซุบเนื้อก้อนคนอร์': '1 ก้อน'}",108.64,175.83,287.68,3167.75
แกงมัสมั่นหมู,"{'เนื้อหมู': '500 กรัม', 'พริกแกงมัสมั่น': '100 กรัม', 'หอมใหญ่': '2 ลูก', 'มันฝรั่ง': '3 หัว', 'ถั่วลิสงคั่ว': '150 กรัม', 'น้ำตาลปีบ': '3 ช้อน', 'น้ำมะขามเปียก': '2 ช้อน', 'เกลือ': '1 ช้อนครึ่ง', 'ใบกระวาน': '2 ใบ', 'กะทิ UHT': '1 กล่อง'}",78.09,67.92,233.52,1857.72
แกงเลียงกุ้งสด,"{'กุ้งสดปอกเปลือกผ่าหลัง': '250กรัม', 'ข้าวโพดอ่อน': '80กรัม', 'ฟักทอง': '240กรัม', 'บวบ': '230กรัม', 'เห็ดรวม': '250กรัม', 'ใบแมงลัก': '1ถ้วย', 'น้ำซุป': '4ถ้วย', 'น้ำปลา': '2ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1ช้อนโต๊ะ', 'น้ำตาล': '1ช้อนชา', 'พริกแกงเลียง': ''}",35.2,110.99,0,1139.71
