ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories,วัตถุดิบ
กะเพราไก่เด็กน้อย👨‍🍳,"{'ไก่บด': '2 ขีด', 'กะเพรา': '1 กำมือ', 'กระเทียมตำ': '4 กลีบ', 'พริกขี้หนู': '4 ดอก', 'น้ำมันหอย': '2 ช้อนโต๊ะ', 'แมกกี้': 'สำหรับเหยาะ', 'น้ำปลา': '1 ช้อน', 'น้ำตาล': '1 ช้อน', 'น้ำมัน': 'นิดหน่อย', 'ซีอิ๊วดำ': 'นิดหน่อย'}",62.37,324.21,10.4,3208.97,
กะเพราเต้าหู้ ,"{'เต้าหู้ขาว': 'ครึ่งก้อน', 'พริกขี้หนู': '6 เม็ด', 'น้ำมันถั่วเหลือง': '1 ช้อนโต๊ะ', 'อร่อยชัวร์': 'ตามชอบ', 'น้ำตาลทราย': 'ตามชอบ', 'ซีอิ๊วดำ': 'เล็กน้อย', 'น้ำเปล่า': '1 ทัพพี', 'กะเพรา': '2 ต้น'}",36.79,219.23,104.7,2539.03,"เต้าหู้ขาว: ครึ่งก้อน
พริกขี้หนู:, 6 เม็ด
น้ำมันถั่วเหลือง:, 1 ช้อนโต๊ะ
อร่อยชัวร์: ตามชอบ
น้ำตาลทราย: ตามชอบ
ซีอิ๊วดำ: เล็กน้อย
น้ำเปล่า:, 1 ทัพพี
กะเพรา:, 2 ต้น"
กาแฟชาเขียวเย็น,"{'ชาเขียว': '1 ช้อนโต๊ะ', 'น้ำตาล': '3 ช้อนโต๊ะ', 'น้ำร้อน': '2 ช้อนโต๊ะ', 'นมสด': '1 ขวด', 'กาแฟเย็น': '1 กระป๋อง', 'น้ำแข็ง': '1 แก้ว'}",60.41,109.53,0,1227.41,"ชาเขียว, 1 ช้อนโต๊ะ
น้ำตาล, 3 ช้อนโต๊ะ
น้ำร้อน, 2 ช้อนโต๊ะ
นมสด, 1 ขวด
กาแฟเย็น, 1 กระป๋อง
น้ำแข็ง, 1 แก้ว"
กาแฟดำน้ำผึ้งมะนาว (Honey Lime Black Coffee),"{'กาแฟดำ': '150ml.', 'น้ำผึ้ง': '50ml.', 'น้ำมะนาว': '2-3 ลูก', 'น้ำแข็ง': '1 แก้ว', 'น้ำร้อน': '50ml.'}",72.88,258.83,0,2620.99,"กาแฟดำ, 150ml.
น้ำผึ้ง, 50ml.
น้ำมะนาว, 2-3 ลูก
น้ำแข็ง, 1 แก้ว
น้ำร้อน, 50ml."
กุ้งกระเบื้องสาหร่าย,"{'แผ่นเปาะเปี๊ยะ': '10 แผ่น', 'สาหร่ายรสดั้งเดิม': '1 ห่อ', 'เนื้อกุ้ง': '400 กรัม', 'รากผักชี': '2 ราก', 'กระเทียม': '20 กรัม', 'พริกไทย': '1 ช้อนชา', 'แป้งมัน': '2 ช้อนโต๊ะ', 'ไข่ขาว': '1 ฟอง', 'ซอสหอยนางรม': '1 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนโต๊ะ', 'ต้นหอม': '2 ช้อนโต๊ะ'}",27.07,36.26,186.97,1182.5,"แผ่นเปาะเปี๊ยะ, 10 แผ่น
สาหร่ายรสดั้งเดิม, 1 ห่อ
เนื้อกุ้ง, 400 กรัม
รากผักชี, 2 ราก
กระเทียม, 20 กรัม
พริกไทย, 1 ช้อนชา
แป้งมัน, 2 ช้อนโต๊ะ
ไข่ขาว, 1 ฟอง
ซอสหอยนางรม, 1 ช้อนโต๊ะ
น้ำตาลทราย, 1 ช้อนโต๊ะ
ต้นหอม, 2 ช้อนโต๊ะ"
กุ้งทอดกระเทียม (สูตรมันกุ้ง),"{'กุ้ง': '', 'กระเทียม': '', 'น้ำมันพืช': '', 'แป้งทอดกรอบ': '', 'ซอสถั่วเหลือง': '', 'น้ำมันหอย': '', 'น้ำปลา': '', 'พริกไทย': '', 'เกลือ': ''}",38.86,312.26,35.01,3105.82,"กุ้ง:
กระเทียม:
น้ำมันพืช:
แป้งทอดกรอบ:
ซอสถั่วเหลือง:
น้ำมันหอย:
น้ำปลา:
พริกไทย:
เกลือ:"
กุ้งผัดผงกะหรี่,"{'กุ้งสด': '12-15 ตัว', 'ผงกะหรี่': '', 'น้ำพริกเผา': '', 'ไข่ไก่': '', 'นดสด': '', 'ซีอิ้วขาว': '', 'น้ำปลา': '', 'น้ำตาล': '', 'น้ำมันหอยนางรม': '', 'พริกไทยป่น': '', 'กระเทียม': '', 'หัวหอม': '', 'คึ่นช่าย': '', 'ต้นหอม': '', 'พริกชี้ฟ้าแดง': ''}",87.5,179.53,83.63,2300.29,"กุ้งสด, 12-15 ตัว
ผงกะหรี่
น้ำพริกเผา
ไข่ไก่
นดสด
ซีอิ้วขาว
น้ำปลา
น้ำตาล
น้ำมันหอยนางรม
พริกไทยป่น
กระเทียม
หัวหอม
คึ่นช่าย
ต้นหอม
พริกชี้ฟ้าแดง"
กุ้งผัดพริกเกลือ,"{'กุ้งขาว': '300 กรัม', 'พริกขี้หนู': '6 เม็ด', 'กระเทียม': '1 ช้อนโต๊ะ', 'รากผักชี': '1 ช้อนโต๊ะ', 'พริกไทย': '1/4 ช้อนชา', 'ต้นหอม': '1/4 ช้อนชา', 'น้ำมันหอย': '1 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนชา', 'เกลือป่น': '1/4 ช้อนชา', 'น้ำตาลทราย': '1 ช้อนชา', 'น้ำมันพืช': '2 ช้อนโต๊ะ'}",30.58,215.78,119.18,2541.06,"กุ้งขาว ผ่าหลัง, 300 กรัม
พริกขี้หนู โขลกพอแหลก, 6 เม็ด
กระเทียมหั่นหยาบ, 1 ช้อนโต๊ะ
รากผักชีซอย, 1 ช้อนโต๊ะ
พริกไทย, 1/4 ช้อนชา
ต้นหอมซอย, 1/4 ช้อนชา
น้ำมันหอย, 1 ช้อนโต๊ะ
ซีอิ๊วขาว, 1 ช้อนชา
เกลือป่น, 1/4 ช้อนชา
น้ำตาลทราย, 1 ช้อนชา
น้ำมันพืช, 2 ช้อนโต๊ะ"
กุ้งฝอยทอด,"{'กุ้งฝอย': '300 กรัม', 'แป้งข้าวเจ้า': '60 กรัม', 'แป้งสาลีอเนกประสงค์': '60 กรัม', 'เกลือ': '1/4 ช้อนชา', 'ไข่แดง': '1 ฟอง', 'น้ำพริกแกงเผ็ด': '2 ช้อนชา', 'น้ำตาลทราย': '1/2 ช้อนชา', 'น้ำปูนใส': '140 มิลลิลิตร', 'ใบมะกรูด (ซอย)': '8 ใบ', 'น้ำมันรำข้าวสำหรับทอด': '', 'น้ำตาลทราย (สำหรับอาจาด)': '110 กรัม', 'น้ำส้มสายชูข้าว (สำหรับอาจาด)': '125 มิลลิลิตร', 'เกลือ (สำหรับอาจาด)': '1/2 ช้อนชา', 'พริกชี้ฟ้าแดง (สำหรับอาจาด)': '2 เม็ด', 'หอมแดง': '3 หัว', 'ขิง (ซอย)': '2 ช้อนโต๊ะ', 'ผักชีสำหรับตกแต่ง': ''}",81.65,200.25,290.86,3292.29,"กุ้งฝอย, 300 กรัม
แป้งข้าวเจ้า, 60 กรัม
แป้งสาลีอเนกประสงค์, 60 กรัม
เกลือ, 1/4 ช้อนชา
ไข่แดง, 1 ฟอง
น้ำพริกแกงเผ็ด, 2 ช้อนชา
น้ำตาลทราย, 1/2 ช้อนชา
น้ำปูนใส, 140 มิลลิลิตร
ใบมะกรูด (ซอย​​), 8 ใบ
น้ำมันรำข้าวสำหรับทอด
น้ำตาลทราย(สำหรับอาจาด), 110 กรัม
น้ำส้มสายชูข้าว (สำหรับอาจาด), 125 มิลลิลิตร
เกลือ(สำหรับอาจาด), 1/2 ช้อนชา
พริกชี้ฟ้าแดง(สำหรับอาจาด), 2 เม็ด
หอมแดง, 3 หัว
ขิง(ซอย), 2 ช้อนโต๊ะ
ผักชีสำหรับตกแต่ง"
กุ้งอบวุ้นเส้น,"{'กุ้งก้ามกราม': '6 ตัว', 'วุ้นเส้น': '80 กรัม', 'น้ำตาลทราย': '2 ช้อนโต๊ะ', 'ซีอิ๊วดำ': '2 ช้อนชา', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '2 ช้อนโต๊ะ', 'น้ำซุป': '1 ถ้วย', 'เบคอน': '', 'ขิงแก่': '', 'กระเทียม': '', 'พริกไทยขาว': '', 'พริกไทยดำ': '', 'คื่นช่าย': '', 'ต้นหอม': '(ใส่ตามชอบ)'}",59.31,20.59,277.6,1532.95,"กุ้งก้ามกราม, 6 ตัว
วุ้นเส้น, 80 กรัม
น้ำตาลทราย, 2 ช้อนโต๊ะ
ซีอิ๊วดำ, 2 ช้อนชา
ซอสหอยนางรม, 2 ช้อนโต๊ะ
ซีอิ๊วขาว, 2 ช้อนโต๊ะ
น้ำซุป, 1 ถ้วย
เบคอน,ขิงแก่,กระเทียม,พริกไทยขาว,พริกไทยดำ,คื่นช่าย,ต้นหอม(ใส่ตามชอบ)"
เกี๊ยวกุ้งทอดยักษ์,"{'รากผักชี': '2 ราก', 'กระเทียม': '1 กลีบ', 'เม็ดพริกไทยขาว': '½ ช้อนชา', 'เกลือ': '¼ ช้อนชา', 'ซีอิ๊วขาว': '2 ช้อนชา', 'น้ำมันงา': '½ ช้อนชา', 'เนื้อกุ้ง': '300 กรัม', 'แป้งข้าวโพด': '2 ช้อนชา', 'ปลาหมึก': '150 กรัม', 'แป้งเปาะเปี๊ยะสำหรับห่อ': '', 'น้ำจิ้มบ๊วยเจีย': '¼ ถ้วย', 'ซอสมะเขือเทศ': '2 ช้อนโต๊ะ', 'แป้งสาลีอเนกประสงค์สำหรับเป็นแป้งเปียก': '', 'น้ำมันรำข้าวสำหรับทอด': ''}",45.95,213.77,91.8,2474.93,"รากผักชี, 2 ราก
กระเทียม, 1 กลีบ
เม็ดพริกไทยขาว½ ช้อนชา
เกลือ¼ ช้อนชา
ซีอิ๊วขาว, 2 ช้อนชา
น้ำมันงา½ ช้อนชา
เนื้อกุ้ง, 300 กรัม
แป้งข้าวโพด, 2 ช้อนชา
ปลาหมึก, 150 กรัม
แป้งเปาะเปี๊ยะสำหรับห่อ
น้ำจิ้มบ๊วยเจีย¼ ถ้วย
ซอสมะเขือเทศ, 2 ช้อนโต๊ะ
แป้งสาลีอเนกประสงค์สำหรับเป็นแป้งเปียก
น้ำมันรำข้าวสำหรับทอด"
เกี๊ยวน้ำสูตร มัดใจสามี,"{'แผ่นเกี๊ยว': '1 ห่อ', 'หมูบด': '300 กรัม', 'รากผักชี': '3 ต้น', 'กระเทียม': '5 กลีบ', 'พริกไทยเม็ด': '1 ช้อนชา', 'ซอสหอยนางรม': '2 ช้อนโต๊ะ', 'ซีอิ๊วขาว': '1 ช้อนโต๊ะ', 'ซอสปรุงรสฝาเขียว': '1 ช้อนโต๊ะ', 'น้ำมันงา': '1 ช้อนชา', 'น้ำเปล่าสำหรับต้มเกี๊ยว': '2 ถ้วยตวง', 'น้ำมันงาสำหรับคลุกเกี๊ยว': '1 ช้อนชา', 'น้ำเปล่า': '1 ถ้วยตวง', 'รสดีซุปก้อน': '1 ก้อน', 'รากผักชี (น้ำซุป)': '2 ราก', 'กระเทียมบุบ': '2 กลีบ', 'พริกไทยเม็ดบุบ': '1 ช้อนโต๊ะ', 'ซอสปรุงรสฝาเขียว (สำหรับน้ำซุป)': '2 ช้อนโต๊ะ', 'น้ำตาลทราย': '1 ช้อนโต๊ะ', 'พริกไทยป่น': '', 'คื่นฉ่ายซอย': ''}",75.13,359.07,304.98,4752.07,"แผ่นเกี๊ยว, 1ห่อ
หมูบด, 300กรัม
รากผักชี, 3ต้น
กระเทียม, 5กลีบ
พริกไทยเม็ด, 1ช้อนชา
ซอสหอยนางรม, 2ช้อนโต๊ะ
ซีอิ๊วขาว, 1ช้อนโต๊ะ
ซอสปรุงรสฝาเขียว, 1ช้อนโต๊ะ
น้ำมันงา(สำหรับหมักหมู), 1ช้อนชา
น้ำเปล่าสำหรับต้มเกี๊ยว, 2ถ้วยตวง
น้ำมันงาสำหรับคลุกเกี๊ยว, 1ช้อนชา
น้ำเปล่า, 1ถ้วยตวง
รสดีซุปก้อน, 1ก้อน
รากผักชี(น้ำซุป), 2ราก
กระเทียมบุบ, 2กลีบ
พริกไทยเม็ดบุบ, 1ช้อนโต๊ะ
ซอสปรุงรสฝาเขียว(สำหรับน้ำซุป), 2ช้อนโต๊ะ
น้ำตาลทราย, 1ช้อนโต๊ะ
พริกไทยป่น
คื่นฉ่ายซอย"
แกงกะทิสายบัวปลาทูนึ่ง,"{'สายบัว': '300 กรัม', 'ปลาทูนึ่ง': '4 ตัว', 'น้ำตาลทรายหรือน้ำตาลมะพร้าว': '½ ช้อนโต๊ะ', 'หัวกระทิ': '1 ถ้วย', 'หางกะทิ': '1 ½ ถ้วย', 'หอมแดง': '5-6 หัว', 'พริกไทยเม็ด': '1 ช้อนโต๊ะ', 'กะปิ': '½ ช้อนโต๊ะ', 'เกลือ': '½ ช้อนโต๊ะ', 'น้ำมะขามเปียกคั้นข้นๆ': '2-3 ช้อนโต๊ะ'}",29.4,225.49,73.5,2441.01,"สายบัวลอกเปลือกออก หักเป็นท่อนๆ, 300 กรัม
ปลาทูนึ่งแกะเอาแต่เนื้อ, 4 ตัว
น้ำตาลทรายหรือน้ำตาลมะพร้าว½ ช้อนโต๊ะ
หัวกระทิ, 1 ถ้วย
หางกะทิ, 1 ½ ถ้วย
หอมแดง, 5-6 หัว
พริกไทยเม็ด, 1 ช้อนโต๊ะ
กะปิ½ ช้อนโต๊ะ
เกลือ½ ช้อนโต๊ะ
น้ำมะขามเปียกคั้นข้นๆ, 2-3 ช้อนโต๊ะ"
แกงกะหรี่ญี่ปุ่น,"{'มันฝรั่ง': '4 ลูก', 'แครอท': '1 ลูก', 'หอมหัวใหญ่': '2 หัว', 'ก้อนแกงกะหรี่ สูตรญี่ปุ่น': '4 ก้อนเล็ก', 'น้ำตาลทราย': '3 ช้อนโต๊ะ', 'โชยุ': '2 ช้อนโต๊ะ', 'ซุปก้อน': '1 ก้อน', 'กระเทียมจีนขูด': '1 กลีบ', 'เนยจืด': '1 ช้อนชา', 'เกลือ': '1/4 ช้อนชา', 'พริกไทย': 'นิดหน่อย', 'นมจืด': '125 มล.', 'เนื้อหมูสไลด์': '3 ขีด'}",59.86,126.85,207.08,2209.41,"มันฝรั่ง, 4 ลูก
แครอท, 1 ลูก
หอมหัวใหญ่, 2 หัว
ก้อนแกงกะหรี่ สูตรญี่ปุ่น, 4 ก้อนเล็ก
น้ำตาลทราย, 3 ช้อนโต๊ะ
โชยุ, 2 ช้อนโต๊ะ
ซุปก้อน, 1 ก้อน
กระเทียมจีนขูด, 1 กลีบ
เนยจืด, 1 ช้อนชา
เกลือ, 1/4 ช้อนชา
พริกไทยนิดหน่อย
นมจืด, 125 มล.
เนื้อหมูสไลด์, 3 ขีด"
แกงไก่ยอดมะพร้าวอ่อน,"{'เครื่องในและส่วนต่างๆของไก่': '', 'กะทิ': '', 'พริกแกง': '', 'น้ำตาลปี๊บ': '', 'คนอร์': '', 'พริกชี้ฟ้า': '', 'ใบโหระพา': '', 'น้ำเปล่า': '', 'ยอดมะพร้าวอ่อน': '', 'ซอสฝาเขียว': ''}",34.26,128.13,186.88,2037.73,"เครื่องในและส่วนต่างๆของไก่:
กะทิ:
พริกแกง:
น้ำตาลปี๊บ:
คนอร์:
พริกชี้ฟ้า:
ใบโหระพา:
น้ำเปล่า:
ยอดมะพร้าวอ่อน:
ซอสฝาเขียว:"
แกงไก่เส้นร้อน(วุ้นเส้น) ,"{'ไก่': '1/2 ตัว', 'วุ้นเส้น': '100 กรัม', 'หัวหอม': '3 ช้อนโต๊ะ', 'ตะไคร้': '2 ช้อนโต๊ะ', 'พริกขี้หนูแห้ง': '6-8 เม็ด', 'พริกขี้หนูสีแดง': '4 เม็ด', 'เกลือ': '1 ช้อนโต๊ะ', 'น้ำปลา': '3 ช้อนโต๊ะ', 'ใบมะกรูด': '10 ใบ', 'ใบแมงลัก': 'ตามชอบ', 'ต้นหอม': '3 ต้น', 'น้ำเปล่า': '4 ถ้วย'}",66,242.45,83.49,2780.01,"ไก่, 1/2 ตัว
วุ้นเส้นขนาด, 100 กรัม1 ห่อ
หัวหอมหั่น, 3 ช้อนโต๊ะ
ตะไคร้ซอย, 2 ช้อนโต๊ะ
พริกขี้หนูแห้ง, 6-8 เม็ด
พริกขี้หนูสีแดง, 4 เม็ด
เกลือ, 1 ช้อนโต๊ะ
น้ำปลา, 3 ช้อนโต๊ะ
ใบมะกรูด, 10 ใบ
ใบแมงลักตามชอบ
ต้นหอมหั่นท่อน, 3 ต้น
น้ำเปล่า, 4 ถ้วย
ตะไคร้หั่นท่อน, 2 ต้น"
แกงขี้เหล็กปลาย่าง,"{'หางกะทิ': '2 ลิตร', 'หัวกะทิ': '500 มล.', 'เนื้อปลาย่าง': '300 กรัม', 'กะปิ': '1 ช้อนโต๊ะ', 'ตะไคร้': '2 ต้น', 'หัวหอมแดง': '4 หัว', 'กระเทียม': '1 หัว', 'พริกไทย': '1/2 ช้อนชา', 'ขมิ้น': '1 หัว', 'เกลือเม็ด': '1 ช้อนชา', 'ผงปรุงรสหมู': '1 ช้อนโต๊ะ', 'ใบขี้เหล็กอ่อน': '500 กรัม', 'พริกสด': '5 เม็ด'}",62.19,57.4,115.01,1225.4,"หางกะทิ:, 2 ลิตร
หัวกะทิ:, 500 มล.
เนื้อปลาย่าง:, 300 กรัม
กะปิ:, 1 ช้อนโต๊ะ
ตะไคร้:, 2 ต้น
หัวหอมแดง:, 4 หัว
กระเทียม:, 1 หัว
พริกไทย:, 1/2 ช้อนชา
ขมิ้น:, 1 หัว
เกลือเม็ด:, 1 ช้อนชา
ผงปรุงรสหมู:, 1 ช้อนโต๊ะ
ใบขี้เหล็กอ่อน:, 500 กรัม
พริกสด:, 5 เม็ด"
แกงเขียวหวานเนื้อพริกขี้หนู,"{'เนื้อวัว': 'ล้ำ', 'พริกแกงเขียวหวาน': '100 กรัม', 'กะทิ': '1/2 กก.', 'น้ำปลา': '4 ช้อนโต๊ะ', 'น้ำตาลตะโหนด': '1 ช้อนโต๊ะ', 'มะเขือเปราะ': '6 ลูก', 'มะเขือพวง': '', 'ใบโหระพา': '', 'พริกขี้หนู': '', 'ใบมะกรูดฉีก': ''}",57.73,126.72,124.58,1869.72,"เนื้อวัว(ล้ำ):, 500 กรัม
พริกแกงเขียวหวาน:, 100 กรัม
กะทิ:, 1/2 กก.
น้ำปลา:, 4 ช้อนโต๊ะ
น้ำตาลตะโหนด:, 1 ช้อนโต๊ะ
มะเขือเปราะ:, 6 ลูก
มะเขือพวง:
ใบโหระพา:
พริกขี้หนู:
ใบมะกรูดฉีก:"
แกงเขียวหวานลูกชิ้นปลากราย,"{'ลูกชิ้นปลากรายเม็ดจิ๋ว': '1/2 กก.', 'พริกแกงเขียวหวาน': '1 ขีด', 'กะทิ': '2 กล่อง', 'มะเขือเปาะ': '10-15 ลูก', 'กระชายฝอย': '1/2 ขีด', 'โหรภา': '1 กำ', 'พริกชี้ฟ้าแดง': '3 เม็ด', 'ใบมะกรูดฉีก': '5-6 ใบ', 'น้ำตาลปึก': '3 ก้อน', 'น้ำปลา': '1 ถ้วย', 'น้ำตาลทราย': '3-5 ชช'}",49.27,128.85,270.98,2440.65,"ลูกชิ้นปลากรายเม็ดจิ๋ว:, 1/2กก
พริกแกงเขียวหวาน:, 1ขีด
กะทิ:, 2กล่อง
มะเขือเปาะ:, 10-15ลูก
กระชายฝอย:, 1/2ขีด
โหรภา:, 1กำ
พริกชี้ฟ้าแดง:, 3เม็ด
ใบมะกรูดฉีก:, 5-6ใบ
น้ำตาลปึก:, 3 ก้อน
น้ำปลา:, 1ถ้วย
น้ำตาลทราย:, 3-5ชช"
แกงคั่วเห็ดเผาะใส่หน่อไม้ดอง,"{'เห็ดเผาะสด': '1 ลิตรเล็ก (ประมาณ 300 กรัม)', 'หน่อไม้ดอง': '100 กรัม', 'ชะอมและชะพลู': 'ตามชอบ', 'หัวกะทิ': '500 มิลลิกรัม', 'พริกแกงเผ็ด': 'แล้วแต่ชอบ', 'เครื่องปรุงรส (น้ำปลา, น้ำตาล)': 'ตามชอบ'}",24.32,15.39,6.45,261.59,"เห็ดเผาะสด (อ่อน/แก่ตามชอบ):, 1 ลิตรเล็ก (ประมาณ 300 กรัม
หน่อไม้ดอง:, 100 กรัม
ชะอมและชะพลู (ถ้ามี): ตามชอบ
หัวกะทิ:, 500 มิลลิกรัม
พริกแกงเผ็ด: แล้วแต่ชอบ
เครื่องปรุงรส (น้ำปลา
น้ำตาล): ตามชอบ"
แกงจืดไข่น้ำหมูสับ,"{'หมูสับ': '150 กรัม', 'พริกไทยป่น': '¼ ช้อนชา', 'ซอสเห็ดหอม': '1 ช้อนชา', 'ซีอิ๊วขาว': '2 ช้อนชา', 'น้ำปลา': '2 ช้อนชา', 'ไข่ไก่': '3 ฟอง', 'น้ำมันพืชสำหรับทอด': '', 'รากผักชีทุบ': '1 ราก', 'ผักกาดขาวหั่นชิ้น': '50 กรัม', 'กระเทียมทุบ': '3 กลีบ', 'พริกไทยเม็ด': '½ ช้อนชา', 'เกลือป่นหยาบ': '⅛ ช้อนชา', 'น้ำเปล่า': '3 ถ้วยตวง', 'ต้นหอมหั่นท่อน': '2 ช้อนโต๊ะ', 'ผักชีหั่นท่อน': '2 ช้อนโต๊ะ', 'กระเทียมเจียวสำหรับโรยหน้า': ''}",99.31,281.76,123.55,1427.28,"หมูสับ, 150 กรัม
พริกไทยป่น ¼ ช้อนชา
ซอสเห็ดหอม, 1 ช้อนชา
ซีอิ๊วขาว ½ ช้อนชา
น้ำปลา ¼ ช้อนชา
วัตถุดิบไข่
ไข่ไก่, 3 ฟอง
น้ำปลา, 1½ ช้อนชา
น้ำมันพืชสำหรับทอด วัตถุดิบแกงจืด

รากผักชีทุบ, 1 ราก
ผักกาดขาวหั่นชิ้น, 50 กรัม
กระเทียมทุบ, 3 กลีบ
พริกไทยเม็ด ½ ช้อนชา
ซีอิ๊วขาว, 2 ช้อนชา
น้ำปลา, 2 ช้อนชา
เกลือป่นหยาบ ⅛ ช้อนชา
น้ำเปล่า, 3 ถ้วยตวง
ต้นหอมหั่นท่อน, 2 ช้อนโต๊ะ
ผักชีหั่นท่อน, 2 ช้อนโต๊ะ
กระเทียมเจียวสำหรับโรยหน้า"
แกงจืดไข่ม้วนไส้ผักกาดขาวหมูสับ,"{'ไข่ไก่': 4, 'หมูสับ': 200, 'ต้นหอมซอย': 1, 'ต้นหอมเด็ดให้เป็นเส้น': 6, 'แครอท': 1, 'ผักกาดขาว': 5, 'ผักกาดหอม': 4, 'ผักชีตกแต่ง': 1, 'ซุปก้อนรสหมู': 1, 'ซีอิ๊วขาว': 3, 'น้ำเปล่า': 1}",60.93,155.9,0,1646.82,"ไข่ไก่:, 4 ฟอง
หมูสับ:, 200 กรัม
ต้นหอมซอย:, 1 ต้น
ต้นหอมเด็ดให้เป็นเส้น:, 6 เส้น
แครอท:, 1 หัว
ผักกาดขาว:, 5 ใบ
ผักกาดหอม:, 4 ใบ
ผักชีตกแต่ง:, 1 ต้น
ซุปก้อนรสหมู:, 1 ก้อน
ซีอิ๊วขาว:, 3 ช้อนโต๊ะ
น้ำเปล่า:, 1 ลิตร"
แกงจืดผักกาดขาวเต้าหู้หมูสับ,"{'หมูสับปรุงรสสำเร็จ': '4 ขีด', 'เต้าหู้ไข่': '2 หลอด', 'ผักกาดขาว': '2 หัว (ครึ่งกิโล)', 'คนอร์ซุปรสหมูก้อน': '2 ก้อน'}",34.24,15.48,32.01,404.32,"หมูสับปรุงรสสำเร็จ เป็นแพคจาก ซุปเปอร์มาร์เก็ต:, 4 ขีด
เต้าหู้ไข่ :, 2 หลอด
ผักกาดขาว:, 2 หัว ครึ่งกิโล
คนอร์ซุปรสหมูก้อน:, 2 ก้อน"
แกงจืดหัวไชโป๊วหวาน,"{'หัวไชโป๊วหวานแบบหัว': '200 กรัม', 'กระดูกหมู': '200 กรัม', 'น้ำเปล่าหรือน้ำซุป': '1.5 ลิตร', 'กระเทียม': '7 กลีบ', 'รากผักชีบุบ': '2 ราก', 'พริกไทยเม็ด': '10 เม็ด', 'พริกไทยป่น': '1/2 ช้อนชา', 'เกลือป่น': '1/2 ช้อนโต๊ะ', 'คนอร์ซุปหมูก้อน': '1 ก้อน'}",52.99,36.21,85.91,881.49,"หัวไชโป๊วหวานแบบหัว:, 200 กรัม
กระดูกหมู:, 200 กรัม
น้ำเปล่าหรือน้ำซุป:, 1.5 ลิตร
กระเทียม:, 7 กลีบ
รากผักชีบุบ:, 2 ราก
พริกไทยเม็ด:, 10 เม็ด
พริกไทยป่น:, 1/2 ช้อนชา
เกลือป่น:, 1/2 ช้อนโต๊ะ
คนอร์ซุปหมูก้อน:, 1 ก้อน"
แกงซี่โครงหมูใส่วุ้นเส้น,"{'ซี่โครงหมู': '320 กรัม', 'วุ้นเส้น': '40 กรัม', 'ใบมะกรูดฉีก': '3-4 ใบ', 'หอมแดงทุบ': '3 หัว', 'ตะไคร้หั่นท่อน': '1 ต้น', 'น้ำปลา': '3ช้อนโต๊ะ', 'น้ำตาลปี๊บ': '1/2 ช้อนโต๊ะ', 'ใบแมงลัก': '1 ถ้วย', 'ต้นหอมหั่นท่อน': '2 ต้น', 'น้ำเปล่า': '3ถ้วย', 'น้ำมันพืช': 'เล็กน้อย', 'เกลือป่น': 'เล็กน้อย'}",33.79,319.46,166.07,3674.58,"ซี่โครงหมู:, 320 กรัม
วุ้นเส้น:, 40 กรัม
ใบมะกรูดฉีก:, 3-4 ใบ
หอมแดงทุบ:, 3 หัว
ตะไคร้หั่นท่อน:, 1 ต้น
น้ำปลา:, 3ช้อนโต๊ะ
น้ำตาลปี๊บ:, 1/2 ช้อนโต๊ะ
ใบแมงลัก:, 1 ถ้วย
ต้นหอมหั่นท่อน:, 2 ต้น
น้ำเปล่า:, 3ถ้วย
น้ำมันพืช: เล็กน้อย
เกลือป่น: เล็กน้อย
**เครื่องพริกแกง**:
พริกแห้ง:, 7 เม็ด
พริกแดงจินดา:, 6 เม็ด
เกลือ:, 1/2 ช้อนชา
ข่าซอย:, 1 ช้อนโต๊ะ
ตะไคร้ซอย:, 3 ต้น
หอมแดง:, 4 หัว"
